panel,kind,stage,condition,proposed,baseline,proposed_nmae,baseline_nmae,gain_pct,ci_low,ci_high,bonf4_low,bonf4_high,seed_gains,primary_family
electricity,standard,selected,SHIFT_POINT,MAG_ONLY,DELTA_XY_BUDGET,0.19351993067575074,0.19593725171649573,1.233722030684925,0.8269402971388288,1.647303231705823,0.6977948798464799,1.7541185116264375,"{""81551"": 1.4451723129256244, ""81552"": 1.0184771795614722}",False
electricity,standard,selected,SHIFT_POINT,MAG_ONLY,DELTA_XY_DEFAULT,0.19351993067575074,0.19909208160918584,2.798780789470645,2.2090774350690503,3.371918336385143,2.0553456037664835,3.498630437080502,"{""81551"": 1.788567690521381, ""81552"": 3.801701535951285}",False
electricity,standard,selected,SHIFT_POINT,MAG_ONLY,B0,0.19351993067575074,0.19622145590940776,1.3767736158803556,1.0888811623083137,1.6977232491499044,1.027789742010605,1.7991928236988903,"{""81551"": 1.8344883095359643, ""81552"": 0.9084773489094533}",False
electricity,standard,selected,SHIFT_POINT,MAG_ONLY,PLAIN,0.19351993067575074,0.19354566144187224,0.013294416382059193,-0.2374937525278814,0.27451511401681095,-0.295517050448581,0.34799472081538485,"{""81551"": -0.06956011011405305, ""81552"": 0.0971323330596574}",False
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,C3,DELTA_XY_BUDGET,0.36610067740011504,0.3992069057490554,8.292999913621523,7.185352679663636,9.367472247183702,6.904680319542841,9.666681203140413,"{""81551"": 6.272808242946359, ""81552"": 10.183084966155143}",False
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,C3,DELTA_XY_DEFAULT,0.36610067740011504,0.40365565536868175,9.303716538856765,8.14895664113192,10.423898825214792,7.845271714910117,10.749988492874254,"{""81551"": 7.443613041179342, ""81552"": 11.049046587669975}",False
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,C3,B0,0.36610067740011504,0.40302582451783653,9.161980416986237,7.871561474309569,10.414407460725583,7.58761294252997,10.710517556954319,"{""81551"": 7.046921825261898, ""81552"": 11.136130156077417}",False
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,C3,PLAIN,0.36610067740011504,0.3824713783196589,4.28024209065434,3.841517323998283,4.687310895019436,3.7267167486543036,4.793459810642809,"{""81551"": 3.5685984230661827, ""81552"": 4.964979452632257}",False
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,DELTA_XY_BUDGET,0.36574965867630893,0.3992069057490554,8.380928934575582,7.273153126657102,9.456625628068542,6.976261474299094,9.76474796585306,"{""81551"": 6.222441243165166, ""81552"": 10.400403314572982}",False
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,DELTA_XY_DEFAULT,0.36574965867630893,0.40365565536868175,9.39067648086117,8.22388279532482,10.520807574629252,7.930366695675288,10.833369885854085,"{""81551"": 7.393875207000056, ""81552"": 11.264269680986816}",False
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,B0,0.36574965867630893,0.40302582451783653,9.2490762561241,7.971021285616797,10.494794031118289,7.666935722344674,10.773087030417866,"{""81551"": 6.996970817658655, ""81552"": 11.351142544570415}",False
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,PLAIN,0.36574965867630893,0.3824713783196589,4.372018559091861,3.914628220875966,4.790644379319762,3.78424295018231,4.888932092765118,"{""81551"": 3.5167782384316615, ""81552"": 5.194923374658833}",False
electricity_transfer,shape,fixed1024,PULSE8_D32,C3,DELTA_XY_BUDGET,7.004616621346081,6.957783697437312,-0.6731011762555639,-0.7131595468573254,-0.6298966306910131,-0.7245625550164709,-0.6214229973582929,"{""81551"": -0.2135647417102593, ""81552"": -1.1410046862451173}",False
electricity_transfer,shape,fixed1024,PULSE8_D32,C3,DELTA_XY_DEFAULT,7.004616621346081,6.930035800252543,-1.0761967649693949,-1.1208067821843641,-1.0231409030619043,-1.1363136269254657,-1.0130895572502698,"{""81551"": -0.9456415411785768, ""81552"": -1.208252786415942}",False
