panel,kind,condition,new,baseline,seed,gain_pct
electricity,standard,FAULT,C0,F0,81552,1.9725286954780707
electricity,standard,FAULT,C0,F0,81553,0.2205709674870659
electricity,standard,FAULT,C0,PERSISTENCE,81551,66.28975607825336
electricity,standard,FAULT,C0,PERSISTENCE,81552,66.55645669842039
electricity,standard,FAULT,C0,PERSISTENCE,81553,65.95875002131363
electricity,standard,FAULT,C0,SEASONAL,81551,33.440645729883514
electricity,standard,FAULT,C0,SEASONAL,81552,33.96723406021316
electricity,standard,FAULT,C0,SEASONAL,81553,32.78708921867736
electricity,standard,FAULT,C3,C0,81551,-0.4072590214982519
electricity,standard,FAULT,C3,C0,81552,-0.2153275818855826
electricity,standard,FAULT,C3,C0,81553,-0.4943528650550144
electricity,standard,FAULT,C3,C2,81551,-0.1682769025121766
electricity,standard,FAULT,C3,C2,81552,-0.0313462595063818
electricity,standard,FAULT,C3,C2,81553,0.0579056958717072
electricity,standard,FAULT,C3,M_RECENCY,81551,-0.144488511583618
electricity,standard,FAULT,C3,M_RECENCY,81552,-0.0855579630287595
electricity,standard,FAULT,C3,M_RECENCY,81553,-0.071274350369932
electricity,standard,FAULT,C3,F0,81551,0.7883843167295623
electricity,standard,FAULT,C3,F0,81552,1.7614485119344605
electricity,standard,FAULT,C3,F0,81553,-0.2726914986707074
electricity,standard,FAULT,C3,PERSISTENCE,81551,66.15246806871298
electricity,standard,FAULT,C3,PERSISTENCE,81552,66.48444352533225
electricity,standard,FAULT,C3,PERSISTENCE,81553,65.79046612674347
electricity,standard,FAULT,C3,SEASONAL,81551,33.169576754967466
electricity,standard,FAULT,C3,SEASONAL,81552,33.82504730206285
electricity,standard,FAULT,C3,SEASONAL,81553,32.454820268543
electricity,standard,FAULT,FIX_C3_GC3,FIX_C2_GC2,81551,-0.1775944662728124
electricity,standard,FAULT,FIX_C3_GC3,FIX_C2_GC2,81552,-0.1070140541906461
