panel,stage,arm,seed,condition,checkpoint_step,absolute_correction_nmae,response_distortion_from_B0,ideal_response_error,B0_ideal_response_error,mean_response_to_true_shift_ratio
electricity_transfer,selected,C3,81551,REFERENCE,768,0.01785644298356844,0.0,,,
electricity_transfer,selected,C3,81551,SHIFT4,768,0.05046495273969394,0.041899578003446035,0.1813374439766147,0.1908625361211774,0.9900502298456137
electricity_transfer,selected,C3,81551,SHIFT8,768,0.10405290940794587,0.09516669423223865,0.23721019956926553,0.2569809797716983,0.9918269571390567
electricity_transfer,selected,C3,81551,SHIFT_POINT,768,0.05287874529828469,0.04482334172728525,,,
electricity_transfer,fixed1024,C3,81552,REFERENCE,1024,0.018670669201851106,0.0,,,
electricity_transfer,fixed1024,C3,81552,SHIFT4,1024,0.04832660319478377,0.04633517222521134,0.17701399714871416,0.18352666565042586,0.9799902205122595
electricity_transfer,fixed1024,C3,81552,SHIFT8,1024,0.0917530768434693,0.09236678640364465,0.25229110706227076,0.309340235587847,0.9803447961032181
electricity_transfer,fixed1024,C3,81552,SHIFT_POINT,1024,0.051803221405857025,0.0497167784357886,,,
electricity_transfer,selected,C3,81552,REFERENCE,768,0.018530189838163034,0.0,,,
electricity_transfer,selected,C3,81552,SHIFT4,768,0.057074010413411855,0.05150093993207644,0.17916157045053693,0.18352666565042586,0.9837895623961821
electricity_transfer,selected,C3,81552,SHIFT8,768,0.1054909201172535,0.10546474373081115,0.24730479917117484,0.309340235587847,0.9837869160115043
electricity_transfer,selected,C3,81552,SHIFT_POINT,768,0.06167792673493852,0.05648044481816475,,,
electricity_transfer,fixed1024,IDEAL,81551,REFERENCE,1024,0.06381619944786618,0.0,,,
electricity_transfer,fixed1024,IDEAL,81551,SHIFT4,1024,0.10777863659172174,0.10903419161137476,0.16354938195868043,0.1908625361211774,0.9927411835811031
electricity_transfer,fixed1024,IDEAL,81551,SHIFT8,1024,0.17264461763955322,0.17656262409186096,0.20364600959067947,0.2569809797716983,1.0037439633514025
electricity_transfer,fixed1024,IDEAL,81551,SHIFT_POINT,1024,0.12286332820807752,0.123474314681224,,,
electricity_transfer,selected,IDEAL,81551,REFERENCE,512,0.040566041061026153,0.0,,,
electricity_transfer,selected,IDEAL,81551,SHIFT4,512,0.09847252130754347,0.09571394870121533,0.17972906490553456,0.1908625361211774,0.9934643618367689
electricity_transfer,selected,IDEAL,81551,SHIFT8,512,0.17572420679048678,0.1749709761402629,0.22570366050823232,0.2569809797716983,1.0050472267245056
electricity_transfer,selected,IDEAL,81551,SHIFT_POINT,512,0.10880291197539603,0.10552931387520595,,,
electricity_transfer,fixed1024,IDEAL,81552,REFERENCE,1024,0.06457828758361794,0.0,,,
