panel,kind,condition,channel,A,D,total,gate,weights,interaction,contribution,leave_out_MAG_gain_pct
electricity_transfer,standard,POINT8,43,0.2638492292905294,0.2638735623402636,-2.433304973420425e-05,-9.44586564582961e-06,-1.488718408837464e-05,-2.103444730061632e-06,-1.5208156083877655e-06,-0.0297293700432683
electricity_transfer,standard,POINT8,100,0.230402476143358,0.230519991099609,-0.0001175149562509,-2.1237272820218145e-05,-9.627768343070664e-05,-1.666877247341603e-07,-7.344684765682799e-06,-0.0269501291535416
electricity_transfer,standard,POINT8,144,0.1976017433874617,0.1976692682466015,-6.752485913985584e-05,-1.786361234074052e-07,-6.734622301644844e-05,7.095087643238518e-07,-4.22030369624099e-06,-0.0280494154464123
electricity_transfer,standard,POINT8,149,0.2137109958770122,0.2138405699285755,-0.0001295740515633,1.822200533585505e-05,-0.0001477960568991,4.085729174430064e-07,-8.098378222708147e-06,-0.0265059018581849
electricity_transfer,standard,POINT8,147,0.2234290531496149,0.2234672821074067,-3.822895779176383e-05,4.040992038621682e-05,-7.863887817798065e-05,-1.7022642079617123e-05,-2.3893098619852397e-06,-0.0290323334563245
electricity_transfer,standard,POINT8,11,0.274513379088886,0.2745100112148087,3.367874077286892e-06,-3.4499261313103435e-05,3.786713539039033e-05,-3.9204345648413685e-05,2.1049212983043078e-07,-0.0305713646564812
electricity_transfer,standard,POINT8,83,0.4519856093626811,0.4520904402564009,-0.0001048308937198,-5.60369753611345e-05,-4.879391835868607e-05,-4.537315691893751e-05,-6.551930857488786e-06,-0.0290252644970101
electricity_transfer,standard,POINT8,21,0.2659273873500279,0.2659961325599903,-6.874520996230649e-05,4.899929494373012e-07,-6.923520291174379e-05,-1.7872099479232515e-06,-4.296575622644155e-06,-0.0285376989561234
electricity_transfer,standard,POINT8,79,0.3990767580907908,0.3990186604269911,5.809766379966108e-05,-3.653176039347672e-05,9.46294241931378e-05,-7.259376065826828e-06,3.6311039874788176e-06,-0.0331917343693367
electricity_transfer,standard,POINT8,313,0.1485515590354119,0.148497344026164,5.421500924790434e-05,-1.2161276300992618e-06,5.5431136878003606e-05,-2.921209995010443e-07,3.388438077994021e-06,-0.0308967219654464
electricity_transfer,standard,POINT8,14,0.2271120794644003,0.2271728080514131,-6.072858701283712e-05,7.412861728284259e-06,-6.814144874112138e-05,6.571309874026099e-07,-3.79553668830232e-06,-0.0284552946587264
electricity_transfer,standard,POINT8,129,0.2481719917291756,0.2483348992795727,-0.0001629075503971,-2.8013734650403355e-05,-0.0001348938157467,-2.812421795367337e-06,-1.0181721899820905e-05,-0.0258505899006531
electricity_transfer,standard,POINT8,262,0.1570435057509715,0.1572091782281219,-0.0001656724771503,-1.9023124351050247e-05,-0.0001466493527993,-8.628782449365824e-06,-1.0354529821897038e-05,-0.0251549572918365
electricity_transfer,standard,POINT8,189,0.190667244860212,0.1907175068799462,-5.026201973423738e-05,-1.4325795725175785e-05,-3.59362240090616e-05,-3.068881707923854e-07,-3.1413762333898365e-06,-0.0284578566487631
