panel,kind,stage,arm,b,i,o,step,condition,nmae,mae,pinball
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,BURST4,0.1690587540393005,11.087891677641892,0.14031990789164384
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,BURST8,0.17816976161134337,12.150794851124374,0.14833321372384262
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,FAULT,0.17124318181103884,11.321626302444807,0.14231546271785525
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,POINT16,0.16894445841139932,11.055190583669173,0.14022694915501074
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,POINT4,0.1669542799996041,10.89476408786868,0.13892709650850818
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,POINT8,0.168276861665601,10.9838338761474,0.1397866806761097
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,REFERENCE,0.16625464002449933,10.832169518223964,0.1384989046761379
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,SHIFT4,0.1888051048091325,12.441669282566979,0.15479253864975345
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,SHIFT8,0.20176955547188408,13.034696440498646,0.16612101255695666
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,SHIFT_POINT,0.19221696626317114,12.650880182632125,0.1576496320374436
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,PAIRED_SHIFT8_D32,0.36171581781453604,2821.5390446980305,0.29315774008133116
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,PULSE8_D32,7.035548092758298,87001.17586579995,6.85699769312277
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,RAMP8_D32,0.9913142496559669,8817.033678687167,0.780627243350725
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,STEP12_D17,0.5529296416488292,5497.4846270725975,0.4427458212362922
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,STEP12_D63,0.4005973254350798,3163.0976503463075,0.3174469412926356
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,STEP6_D17,0.39911397229901213,3293.465469156207,0.31810634917940095
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,STEP6_D63,0.3467775822039515,2533.67888890818,0.27412466157448107
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,STEP8_D31,0.3658910135036887,2844.5954456247205,0.3024097695722303
electricity_transfer,shape,fixed1024,C3,81551,81551,81551,1024,STEP8_D33,0.3767583846578012,3124.502129818259,0.3037426755065448
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,PAIRED_SHIFT8_D32,0.35855522497606507,2756.8651352469524,0.29106477037413964
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,PULSE8_D32,7.05861616157162,87295.92175113881,6.881059417286431
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,RAMP8_D32,0.9669624625901522,8443.093521725588,0.7603850715653782
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,STEP12_D17,0.5312502288884654,5157.256729408903,0.42620843045605744
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,STEP12_D63,0.40580556530301776,3234.2342209117837,0.3217870787724324
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,STEP6_D17,0.39496230572855084,3197.8499367190598,0.31490966642655954
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,STEP6_D63,0.34858611277444135,2558.2700857359077,0.27576149139447415
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,STEP8_D31,0.3632541977053314,2777.2876118722897,0.3001468850455927
electricity_transfer,shape,fixed1024,C3,81551,81551,81552,1024,STEP8_D33,0.37129997874121345,3010.573726326266,0.2997610581392819
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,PAIRED_SHIFT8_D32,0.36244355354102104,2825.363182778338,0.29416989982457026
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,PULSE8_D32,7.040366863629092,87024.273573526,6.863270144638545
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,RAMP8_D32,0.9932272719668297,8897.040008212549,0.7832355737721077
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,STEP12_D17,0.5563740026130665,5559.322211692402,0.4454105907612844
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,STEP12_D63,0.4042104633756941,3198.3977393577625,0.32050129946617667
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,STEP6_D17,0.4027419567857531,3347.844011343893,0.3207488882156761
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,STEP6_D63,0.3478350415553783,2542.6200910673215,0.2750905336537585
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,STEP8_D31,0.3666445933948398,2840.4912042986025,0.3032348612434491
electricity_transfer,shape,fixed1024,C3,81551,81552,81551,1024,STEP8_D33,0.3767124886272,3115.701219587286,0.3041252499011401
electricity_transfer,shape,fixed1024,C3,81551,81552,81552,1024,PAIRED_SHIFT8_D32,0.3594554444829886,2757.348739737125,0.2917861139714712
electricity_transfer,shape,fixed1024,C3,81551,81552,81552,1024,PULSE8_D32,7.063331063911204,87324.46420733546,6.886648500160217
electricity_transfer,shape,fixed1024,C3,81551,81552,81552,1024,RAMP8_D32,0.9702831784338596,8576.752217831596,0.7646387608206887
electricity_transfer,shape,fixed1024,C3,81551,81552,81552,1024,STEP12_D17,0.5329445624902253,5191.812021000373,0.4274891709383372
electricity_transfer,shape,fixed1024,C3,81551,81552,81552,1024,STEP12_D63,0.4092107754977923,3262.4410279128174,0.3246899209665364
electricity_transfer,shape,fixed1024,C3,81551,81552,81552,1024,STEP6_D17,0.3983420587549858,3240.48597996211,0.31732962076554133
