arm,seed,mode,lead,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
MOMENTS,92301,raw,24,0.46407531712201777,0.5099202804590534,0.6522755565407026,299.1043125814643,0.9297520661157025,2.713658860998755,0.023415977961432508
MOMENTS,92301,cal,3,0.2575513025830767,0.2807686130140735,0.3516669515872621,161.25869006952965,0.8140495867768595,1.483985927312393,0.0
MOMENTS,92301,cal,6,0.3012786248322661,0.3296538867157576,0.41042637692652545,188.2031268915854,0.8842975206611571,1.774004743525717,0.027548209366391182
MOMENTS,92301,cal,9,0.34148822967611175,0.3660183218018999,0.4586908056906248,210.33502903457514,0.7768595041322314,1.5104691971826578,0.021120293847566578
MOMENTS,92301,cal,12,0.38541759591813024,0.41267821294133505,0.520406311358185,238.63499170098422,0.7768595041322314,1.6506867302312402,0.019742883379247015
MOMENTS,92301,cal,15,0.40269495512294173,0.43241794205590955,0.5489417526435636,251.72006512476392,0.7644628099173554,1.7851266536449801,0.018365472910927456
MOMENTS,92301,cal,18,0.3819458734367051,0.4136035034994437,0.5288664405441339,242.5144274687964,0.8181818181818182,1.8908578714613176,0.017906336088154274
MOMENTS,92301,cal,21,0.393261465333132,0.43753287071245184,0.5328775351136893,244.3537355218052,0.9173553719008265,2.6362338480953755,0.0018365472910927456
MOMENTS,92301,cal,24,0.44654980223893415,0.49239476557596956,0.6335854455717689,290.5338660311108,0.8884297520661157,2.713658860998755,0.0018365472910927456
MOMENTS,92302,raw,3,0.2814155901122806,0.30442443816065345,0.3921168480826129,179.80719823285568,0.8801652892561983,1.4856932592541985,0.01423324150596878
MOMENTS,92302,raw,6,0.30763032229450893,0.33615362087542616,0.4266276065982192,195.63228411713908,0.8801652892561983,1.7994501683930084,0.02433425160697888
MOMENTS,92302,raw,9,0.3519975715928083,0.38512183068165684,0.48316851857353516,221.55941022132055,0.8884297520661157,2.0577915890175196,0.024793388429752067
MOMENTS,92302,raw,12,0.38564841598124183,0.42254373940135803,0.5383558894165101,246.86586307494107,0.8966942148760331,2.255165237211197,0.030303030303030304
MOMENTS,92302,raw,15,0.39815217485303306,0.43837212923501734,0.5634247912219277,258.36133698392507,0.9421487603305785,2.4399846314482594,0.02984389348025712
MOMENTS,92302,raw,18,0.3779419529388371,0.42076421418561066,0.5251992034422621,240.83279702683126,0.9545454545454546,2.5854841135668165,0.032139577594123045
MOMENTS,92302,raw,21,0.39407490034364784,0.43893434308095997,0.5383069081959496,246.84340248423175,0.9504132231404959,2.7023976821623625,0.030762167125803493
MOMENTS,92302,raw,24,0.44809861088459846,0.49439874372422815,0.6351845646480542,291.2671503114306,0.9380165289256198,2.7736264407929605,0.0303030303030303
MOMENTS,92302,cal,3,0.2809007163807684,0.3096617764412343,0.3844903742008579,176.31003939415797,0.8884297520661157,1.8571165740677482,0.0004591368227731864
MOMENTS,92302,cal,6,0.30763032229450893,0.33615362087542616,0.4266276065982192,195.63228411713908,0.8801652892561983,1.7994501683930084,0.02433425160697888
MOMENTS,92302,cal,9,0.3519975715928083,0.38512183068165684,0.48316851857353516,221.55941022132055,0.8884297520661157,2.0577915890175196,0.024793388429752067
