arm,seed,mode,group,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
MOMENTS,92302,raw,2019-07,0.28821345161821066,0.31670699118094586,0.38259355441377346,175.44024292115242,0.9193548387096774,1.759263900122602,0.09408602150537634
MOMENTS,92302,raw,2019-08,0.2707109683565961,0.30090862435423227,0.3752078693439043,172.0534990310669,0.9333333333333333,1.8601182848604763,0.05092592592592592
MOMENTS,92302,cal,2019-01,0.4441786820483588,0.4854412762537873,0.6261843531941874,287.14005704079904,0.8548387096774194,2.4875360494312857,0.002240143369175627
MOMENTS,92302,cal,2019-02,0.45643834868237443,0.4930133391322422,0.6307403609278606,289.2292378289359,0.8348214285714286,2.292340204092184,0.0
MOMENTS,92302,cal,2019-03,0.4661006711426424,0.50829972516982,0.6573423366858918,301.42771068696055,0.8387096774193549,2.5521034564873086,0.0026881720430107525
MOMENTS,92302,cal,2019-04,0.28902313315636474,0.319584729824664,0.40359563689381056,185.0708559036255,0.8916666666666667,1.8952418414048222,0.024537037037037038
MOMENTS,92302,cal,2019-05,0.35981593077874857,0.39042087467290854,0.4801418145070184,220.17149949842883,0.8467741935483871,1.881004887945248,0.004032258064516129
MOMENTS,92302,cal,2019-06,0.388943060437615,0.4253841393408266,0.559416394470627,256.5232660293579,0.875,2.2189900462101027,0.005555555555555556
MOMENTS,92302,cal,2019-07,0.2755569382648693,0.3017130785863029,0.3695781797707248,169.47197591104816,0.875,1.617955471136239,0.0636200716845878
MOMENTS,92302,cal,2019-08,0.2733403277236572,0.30108819635957457,0.37999175273174907,174.24717337290446,0.8958333333333334,1.7126458186781164,0.03055555555555555
SET,92301,raw,2019-01,0.3884596682076356,0.42301275783537035,0.5415945326498226,248.3509595932499,0.8467741935483871,1.9862134187194638,0.011298980111877369
SET,92301,raw,2019-02,0.43689429995597423,0.47534803993538033,0.6186289286775546,283.67547825404574,0.7321428571428571,1.788665664773939,0.0
SET,92301,raw,2019-03,0.43597006035428654,0.47734525945053186,0.6075750818501477,278.60667991638184,0.7540322580645161,1.9216981658604744,0.006514120300172681
SET,92301,raw,2019-04,0.2392068235842952,0.26142374527420487,0.3210129593918226,147.20214422543845,0.9041666666666667,1.4312657581707893,0.03548028575268063
SET,92301,raw,2019-05,0.3226262131050993,0.3504315877349258,0.4451111472484504,204.10800678499282,0.8185483870967742,1.4370880916921527,0.029089738215112227
SET,92301,raw,2019-06,0.329881388419294,0.3618530480675454,0.4691700854777645,215.14035669962564,0.825,1.650382225590288,0.011540684321158571
