arm,seed,mode,series,origin,crps,pinball,nmae,raw_mae,coverage,width,negative_mass,native_pinball
FULL9,92301,raw,1,7128,0.07295053839488005,0.0780786513415952,0.09279628218260615,0.7970534395426512,0.953125,0.49013324399753955,0.3846450617283951,
FULL9,92301,raw,1,7152,0.08506989729161965,0.09245840092353555,0.11131344839549828,0.9561026026494801,0.953125,0.49621342075014585,0.3233024691358024,
FULL9,92301,raw,1,7176,0.10502985747825297,0.11498323890657967,0.15357437839802307,1.3190936495375354,0.9375,0.5332255599314774,0.31712962962962965,
FULL9,92301,raw,1,7200,0.16767314417075063,0.18513649497275825,0.2616787624653444,2.24763269360119,0.859375,0.5283000373549037,0.2959104938271605,
FULL9,92301,raw,1,7224,0.18145542031380718,0.19984526058343505,0.26727876352180346,2.29573268207605,0.796875,0.49991071003531884,0.34645061728395055,
FULL9,92301,raw,1,7248,0.09453470825843244,0.10423291220963644,0.1380505939628185,1.185755486760172,0.90625,0.5095685990051368,0.3231095679012346,
FULL9,92301,raw,1,7272,0.08543580483847424,0.09397372247414237,0.12554406971937793,1.0783334227453452,0.984375,0.49983987459355816,0.34741512345679015,
FULL9,92301,raw,1,7296,0.08657230312533035,0.09510061326498688,0.12416344063021834,1.0664748101116857,0.984375,0.5093683073620874,0.296875,
FULL9,92301,raw,1,7320,0.09576035109217353,0.1048676599070457,0.1432467907930935,1.2303870868490776,0.984375,0.5417518236278127,0.34143518518518523,
FULL9,92301,raw,1,7344,0.14444737072499375,0.1598765105019104,0.22405533380182974,1.9244744536554208,0.890625,0.579257086744984,0.2962962962962963,
FULL9,92301,raw,1,7368,0.17133852179894726,0.18958288297676495,0.27725426818302834,2.3814151050610235,0.890625,0.5685750493878599,0.3329475308641975,
FULL9,92301,raw,1,7392,0.12451767633240314,0.13825169730613351,0.1827950648942998,1.5700783671345562,0.90625,0.5459019812671716,0.36728395061728397,
FULL9,92301,raw,1,7416,0.0745348927556269,0.0806978523099139,0.09419636391249173,0.8090791363938479,0.984375,0.5311288940908332,0.36747685185185186,
FULL9,92301,raw,1,7440,0.1802431937021463,0.19896856055200507,0.25907437697876234,2.2252628921269206,0.859375,0.5231310968018706,0.349537037037037,
FULL9,92301,raw,1,7464,0.17693319484730635,0.19655834513017295,0.26238922728694897,2.2537350763304858,0.8125,0.5332856527157007,0.39834104938271603,
FULL9,92301,raw,1,7488,0.07708039326978522,0.08291501649755981,0.09583634846322335,0.8231654262344819,0.984375,0.5457021372167814,0.4189814814814815,
FULL9,92301,raw,1,7512,0.07426091776281413,0.08079370572659293,0.08807285920884748,0.7564826274465304,0.90625,0.5232960659242226,0.3734567901234568,
FULL9,92301,raw,1,7536,0.13703637065825858,0.15191518976761523,0.2145642383630647,1.8429527581029106,0.875,0.5322313785666543,0.30883487654320985,
FULL9,92301,raw,1,7560,0.22493912060311444,0.24981345898712104,0.3509490197412282,3.01440011075465,0.796875,0.539902444057163,0.3713348765432099,
FULL9,92301,raw,1,7584,0.16134885639809804,0.1777158085400613,0.22982300936883865,1.9740146457916126,0.765625,0.533293833859434,0.28587962962962965,
FULL9,92301,raw,1,7608,0.08596279695292441,0.09319419484334743,0.1114218064797226,0.9570333207957447,0.984375,0.5363197905384325,0.33834876543209874,
FULL9,92301,raw,1,7632,0.1279084907152357,0.14254406892545574,0.20773628696772733,1.784305557841435,0.953125,0.5350425402125571,0.35841049382716045,
FULL9,92301,raw,1,7656,0.11386336105037152,0.12455965058950906,0.17806954246104134,1.529489522188669,0.9375,0.5217311839679387,0.4506172839506173,
FULL9,92301,raw,1,7680,0.09392187761628014,0.10146089019051188,0.14051243978119482,1.2069009748229291,1.0,0.5240973756219803,0.34008487654320985,
FULL9,92301,raw,1,7704,0.08017294072635103,0.08658405358953575,0.11269815562621868,0.9679962435911875,0.96875,0.5308773053797723,0.29378858024691357,
FULL9,92301,raw,1,7728,0.062261352058107816,0.0680419719342695,0.07169304299866107,0.6157917663222179,0.96875,0.5250578006066997,0.28935185185185186,
