candidate,baseline,seed,mode,metric,candidate_score,baseline_score,gain_pct
FULL9,F0_NATIVE,92302,cal,crps,0.11002468494332578,0.11472769573134443,4.099281135247068
FULL9,F0_NATIVE,92302,cal,pinball,0.12078830370912609,0.1261566493089507,4.255301348942641
FULL9,F0_NATIVE,92302,cal,nmae,0.160916443403664,0.16820316278987701,4.332094156467036
FULL9,F0_MEDIAN,92301,raw,crps,0.10998070021858683,0.11957137608059891,8.020879391358127
FULL9,F0_MEDIAN,92301,raw,pinball,0.12077572350254412,0.12703158049018715,4.924647055089015
FULL9,F0_MEDIAN,92301,raw,nmae,0.16076661769687944,0.1667649632979875,3.596885990008458
FULL9,F0_MEDIAN,92302,raw,crps,0.11002468494332578,0.11957137608059891,7.984094061807934
FULL9,F0_MEDIAN,92302,raw,pinball,0.12078830370912609,0.12703158049018715,4.914743843199942
FULL9,F0_MEDIAN,92302,raw,nmae,0.160916443403664,0.1667649632979875,3.507043553191058
FULL9,F0_MEDIAN,92301,cal,crps,0.10998070021858683,0.11346852444862325,3.0738253158616224
FULL9,F0_MEDIAN,92301,cal,pinball,0.12077572350254412,0.12465883106300557,3.1149879453777563
FULL9,F0_MEDIAN,92301,cal,nmae,0.16076661769687944,0.1667649632979875,3.596885990008458
FULL9,F0_MEDIAN,92302,cal,crps,0.11002468494332578,0.11346852444862325,3.0350615045292018
FULL9,F0_MEDIAN,92302,cal,pinball,0.12078830370912609,0.12465883106300557,3.1048962362908883
FULL9,F0_MEDIAN,92302,cal,nmae,0.160916443403664,0.1667649632979875,3.507043553191058
MEDIAN1,FULL9,92301,raw,crps,0.11154845279629703,0.10998070021858683,-1.4254797201638914
MEDIAN1,FULL9,92301,raw,pinball,0.12159628560606188,0.12077572350254412,-0.6794098016730032
MEDIAN1,FULL9,92301,raw,nmae,0.16298719799659475,0.16076661769687944,-1.3812446461380024
MEDIAN1,FULL9,92302,raw,crps,0.11137520663936364,0.11002468494332578,-1.2274715412577741
MEDIAN1,FULL9,92302,raw,pinball,0.12153116019075538,0.12078830370912609,-0.6150069657557156
MEDIAN1,FULL9,92302,raw,nmae,0.1622840019445663,0.160916443403664,-0.8498563055310049
MEDIAN1,FULL9,92301,cal,crps,0.11154845279629703,0.10998070021858683,-1.4254797201638914
MEDIAN1,FULL9,92301,cal,pinball,0.12159628560606188,0.12077572350254412,-0.6794098016730032
MEDIAN1,FULL9,92301,cal,nmae,0.16298719799659475,0.16076661769687944,-1.3812446461380024
MEDIAN1,FULL9,92302,cal,crps,0.11137520663936364,0.11002468494332578,-1.2274715412577741
MEDIAN1,FULL9,92302,cal,pinball,0.12153116019075538,0.12078830370912609,-0.6150069657557156
MEDIAN1,FULL9,92302,cal,nmae,0.1622840019445663,0.160916443403664,-0.8498563055310049
FIXED3,FULL9,92301,raw,crps,0.10999769932080472,0.10998070021858683,-0.01545644116114353
FIXED3,FULL9,92301,raw,pinball,0.12054515067174769,0.12077572350254412,0.1909099147657578
FIXED3,FULL9,92301,raw,nmae,0.16075638755965194,0.16076661769687944,0.006363346678595061
FIXED3,FULL9,92302,raw,crps,0.11003419602837554,0.11002468494332578,-0.008644501054155818
FIXED3,FULL9,92302,raw,pinball,0.1205219203397253,0.12078830370912609,0.22053738749596707
FIXED3,FULL9,92302,raw,nmae,0.16117522794688174,0.160916443403664,-0.1608192038948797
FIXED3,FULL9,92301,cal,crps,0.10999769932080472,0.10998070021858683,-0.01545644116114353
FIXED3,FULL9,92301,cal,pinball,0.12054515067174769,0.12077572350254412,0.1909099147657578
FIXED3,FULL9,92301,cal,nmae,0.16075638755965194,0.16076661769687944,0.006363346678595061
FIXED3,FULL9,92302,cal,crps,0.11003419602837554,0.11002468494332578,-0.008644501054155818
FIXED3,FULL9,92302,cal,pinball,0.1205219203397253,0.12078830370912609,0.22053738749596707
FIXED3,FULL9,92302,cal,nmae,0.16117522794688174,0.160916443403664,-0.1608192038948797
MEDOID3,FULL9,92301,raw,crps,0.11005380116988411,0.10998070021858683,-0.06646707208810554
MEDOID3,FULL9,92301,raw,pinball,0.12090546612258465,0.12077572350254412,-0.10742441964157745
MEDOID3,FULL9,92301,raw,nmae,0.1610521925569024,0.16076661769687944,-0.17763318287966623
MEDOID3,FULL9,92302,raw,crps,0.11007979296980955,0.11002468494332578,-0.050086965949658335
MEDOID3,FULL9,92302,raw,pinball,0.12090382843021556,0.12078830370912609,-0.0956423076920343
