symbol,n_train,n_first,n_second,ar_order,xi,theta,threshold,n_exceedances,se,se_resid,kurtosis,xi_first,xi_second,theta_first,theta_second,se_first,se_second
MRK,3020,1510,1510,0,0.29714986424087264,0.6282780339042432,3.0312366202679883,151,0.9428350977065711,0.942835097706571,11.890218285401202,0.18080585511819597,0.022489273260674108,0.5882138110583137,0.6362647933675084,0.9408976393428578,0.9364411207198294
MS,3020,1510,1510,0,0.3768387464307644,0.1778038620112984,3.630907477904383,151,0.9426308454069926,0.9426308454069926,54.8350601557568,0.5392868583792014,0.21071250840115485,0.27673846923846923,0.28761351172566846,0.9374223944166499,0.9397988657785685
MSFT,3020,1510,1510,0,0.2550080143606459,0.517989018971116,3.101999001326191,151,0.9433681122684968,0.9433681122684968,10.682934092567196,0.22761464700285838,0.20501906676163004,0.32207642438598677,0.773961442219048,0.9326494728703042,0.9273900853568566
MU,3020,1510,1510,0,0.1616170747472505,0.38283313593706153,3.0576920973685655,151,0.9446555083931013,0.9446555083931012,4.773514718123593,0.040709706357104775,0.21024669009529817,0.18809213030945776,0.737196608988503,0.9404356819428492,0.9332875874883223
NEE,3020,1510,1510,0,0.11905574628801996,0.3275381885415762,3.1575940305074552,151,0.9466755525641741,0.9466755525641742,11.750068713887043,0.1341333340942789,0.087412903083479,0.2522421507587441,0.5296216111594985,0.942925711685241,0.9300184463427817
NFLX,3020,1510,1510,0,0.3823229071113743,0.7209355114184183,2.86614130539455,151,0.9435788470640532,0.9435788470640532,19.151651128187805,0.32692535069399853,0.4479627798587893,0.724074115834179,0.7003353506920009,0.9406980824253248,0.9301280653296483
NVDA,3020,1510,1510,0,0.23694729764404152,0.331201355478729,3.142728934414165,151,0.941995082129283,0.9419950821292832,12.27715915610784,0.23398394719714105,-0.017327576502973323,0.5355335473689938,0.6268593184666682,0.93673294931979,0.9390588873195613
ORCL,3020,1510,1510,0,0.270782955668208,0.6363520782396088,3.0711153351149507,151,0.9435063417262526,0.9435063417262526,6.22256735843704,0.09004368637961083,0.2329360128083692,0.4178321591050906,0.8148464174358657,0.9403182839834024,0.9342111202374882
PEP,3020,1510,1510,0,0.1159259380417034,0.608808807655223,2.882580204464783,151,0.9395741890370799,0.9395741890370799,12.0546348120855,0.18729748763663967,0.051035373238591114,0.5039740872108073,0.6866647259639559,0.9392277622692905,0.9338097819517779
PFE,3020,1510,1510,0,0.23686720534705918,0.5209247309747469,2.9892355156791304,151,0.9409090019101527,0.9409090019101529,7.279031549324177,0.25364266427036747,-0.0379278673554079,0.6342490097061361,0.5883223842839638,0.9374713443655427,0.9383411785120658
PG,3020,1510,1510,0,0.09380407342705605,0.6547695129089964,3.1328092059487758,151,0.9395677086571602,0.9395677086571601,7.349297748777241,0.048495783014480466,0.137458172016793,0.5675358904512994,0.7570208976490145,0.9324597213961077,0.9380494349405931
QCOM,3020,1510,1510,0,0.3414135212512033,0.6890853285797949,3.0245230881544005,151,0.9438491328092634,0.9438491328092633,8.587199040887743,0.26437761182909236,0.3374229505027397,0.6525761889065356,0.8461242159201343,0.9329417883869696,0.9337039977611529
RTX,3020,1510,1510,0,0.11365012648385947,0.5647911487926136,3.1145256282923484,151,0.9418927187076805,0.9418927187076803,7.2948452847444685,-0.13727638618150023,0.24031137341543257,0.43893705204827,0.9595610676433051,0.9336354347559183,0.940006380582961
SBUX,3020,1510,1510,0,0.1302153593939936,0.3877868657275488,3.1942212018840115,151,0.9426482087830365,0.9426482087830362,6.211301364661182,0.10293217223420227,0.26341231913556606,0.35483819988360854,0.5484100448865704,0.9318282242201288,0.9367976829859739
SCHW,3020,1510,1510,0,0.12825832098138595,0.503765792392718,3.077585119373407,151,0.9378554952757078,0.937855495275708,6.324352064436786,0.13428372350836626,0.09322345720260347,0.2654362149093469,0.6903460080437682,0.9322324157571117,0.9375685134382614
SO,3020,1510,1510,0,0.13194927265226158,0.6071128043479904,3.0044860986562325,151,0.9404573760577368,0.9404573760577368,8.268531616881495,0.1702259103078153,0.158005115398895,0.5191185313119683,0.8553606370103944,0.9246499440261929,0.9348413386738381
T,3020,1510,1510,0,0.06582292807581697,0.5150281266856747,3.054408149422531,151,0.9447448900184613,0.9447448900184612,12.251683322964814,-0.016105456915863778,-0.014066574066755563,0.3575675003729302,0.9513353728030712,0.9345620081682301,0.9382367594087324
TMO,3020,1510,1510,0,0.3513515922853924,0.5612647636593289,3.1064984246656304,151,0.9438375687985917,0.9438375687985916,7.756059364083223,0.33401751466762764,0.11406903067741946,0.4372886390155935,0.6379567948622702,0.9400320439450525,0.9389210957570426
TXN,3020,1510,1510,0,0.22508968582733135,0.6341580957518754,3.0161383656961336,151,0.9411014417468188,0.9411014417468189,4.954159226276121,0.21013323673905474,0.03555653108312767,0.6439509954058193,0.6890614458385036,0.9346832808155467,0.9370404564551208
UNH,3020,1510,1510,0,0.3767359486426637,0.5356956118002809,3.1085760209466757,151,0.9471240376261514,0.9471240376261513,25.706571888384207,0.40058155974920673,0.13249970823514906,0.4389407353482219,0.7387392784750721,0.9457129674787516,0.9361468790685473
UNP,3020,1510,1510,0,0.02248684017004042,0.47430051937698736,3.094571416692,151,0.9411881965068728,0.9411881965068726,4.622288281250242,0.019226823985665203,-0.08876593567863225,0.39604292147741804,0.5214524985132014,0.9302988593747852,0.9365755112218153
UPS,3020,1510,1510,0,0.2099167081555584,0.4938708051755648,3.2355152389329516,151,0.9465459200410946,0.9465459200410945,7.829676792133,0.1237620467411644,0.2704790979858026,0.3931926403312519,0.7598906756743752,0.936323908994996,0.9396264216396293
USB,3020,1510,1510,0,0.29032714732933007,0.19201663402722371,3.867587939294023,151,0.94056711650922,0.9405671165092201,17.752315692676735,0.16785906057614844,0.16909196397999204,0.3499630134319642,0.6612909429889118,0.9365705750929629,0.9387585812141783
VZ,3020,1510,1510,0,0.11289160948950698,0.5726749680715197,2.921995051769473,151,0.9440546137005076,0.9440546137005076,8.72720765209243,0.024219461346784314,0.018956379452815288,0.3669997160220367,0.8746205622277946,0.9413562570602382,0.9406332491392918
WFC,3020,1510,1510,0,0.2832243817385658,0.11426413355545316,4.1271552663965085,151,0.9431739279640146,0.9431739279640147,24.335731488980038,0.12223355816310968,0.20084192205716617,0.3871630629165989,0.6493893282610872,0.9440239575812531,0.9425944310498849
WMT,3020,1510,1510,0,0.1908706881971936,0.6713214393968502,3.1054417653228863,151,0.9418144828427532,0.9418144828427529,9.113040103243751,0.2514252903149079,0.09834841264855568,0.70230298071569,0.8430658155217498,0.9360792969066227,0.9351549381952633
XOM,3020,1510,1510,0,0.1891529423965023,0.5129674073337641,3.0111128626742247,151,0.9435154972363956,0.9435154972363956,13.440033952394025,0.2289879062926839,0.08254117977666947,0.6131891035165924,0.681289586405449,0.9322445601440053,0.9388908833094622
