dataset,seed,arm,role,channel,mse
traffic,41000,PRIOR,matched_old_epoch,column_021,0.929727697747627
traffic,41000,PRIOR,matched_old_epoch,column_022,0.3666577141584701
traffic,41000,PRIOR,matched_old_epoch,column_023,0.45958484028964547
traffic,41000,PRIOR,matched_old_epoch,column_024,0.3669116014968698
traffic,41000,PRIOR,matched_old_epoch,column_025,0.6586686224911779
traffic,41000,PRIOR,matched_old_epoch,column_026,0.4125237029761522
traffic,41000,PRIOR,matched_old_epoch,column_027,0.12248023385894692
traffic,41000,PRIOR,matched_old_epoch,column_028,0.5306695238069132
traffic,41000,PRIOR,matched_old_epoch,column_029,1.0450059574103407
traffic,41000,PRIOR,matched_old_epoch,column_030,0.3876132499114924
traffic,41000,PRIOR,matched_old_epoch,column_031,0.4629907350089234
traffic,41001,SIDE,selected,column_000,0.6602161724456352
traffic,41001,SIDE,selected,column_001,0.384510251970895
traffic,41001,SIDE,selected,column_002,0.3939285551263978
traffic,41001,SIDE,selected,column_003,0.7269746673896099
traffic,41001,SIDE,selected,column_004,0.34219275445558006
traffic,41001,SIDE,selected,column_005,0.3752180558172323
traffic,41001,SIDE,selected,column_006,0.29956428814857333
traffic,41001,SIDE,selected,column_007,0.19487937620162857
traffic,41001,SIDE,selected,column_008,0.5331307017167126
traffic,41001,SIDE,selected,column_009,0.39086560665575737
traffic,41001,SIDE,selected,column_010,0.4683981374197921
traffic,41001,SIDE,selected,column_011,0.2307164532514628
traffic,41001,SIDE,selected,column_012,1.1433580784315385
traffic,41001,SIDE,selected,column_013,0.38259830362938024
traffic,41001,SIDE,selected,column_014,0.3501798169928411
traffic,41001,SIDE,selected,column_015,0.6601801362453898
traffic,41001,SIDE,selected,column_016,0.2852576608654576
traffic,41001,SIDE,selected,column_017,0.18818994825148433
traffic,41001,SIDE,selected,column_018,0.20284690630802746
traffic,41001,SIDE,selected,column_019,0.49498716737054316
traffic,41001,SIDE,selected,column_020,0.06553234417479245
traffic,41001,SIDE,selected,column_021,0.7456782953057468
traffic,41001,SIDE,selected,column_022,0.28669056500789347
traffic,41001,SIDE,selected,column_023,0.36665169594645414
traffic,41001,SIDE,selected,column_024,0.2632273882370597
traffic,41001,SIDE,selected,column_025,0.5165768266700902
traffic,41001,SIDE,selected,column_026,0.24582961236780557
traffic,41001,SIDE,selected,column_027,0.1159586300162431
traffic,41001,SIDE,selected,column_028,0.435187640136714
traffic,41001,SIDE,selected,column_029,0.8596053718645718
traffic,41001,SIDE,selected,column_030,0.3090507123645948
traffic,41001,SIDE,selected,column_031,0.3172725867877795
traffic,41001,SIDE,matched_old_epoch,column_000,0.7943109303520072
traffic,41001,SIDE,matched_old_epoch,column_001,0.4681034238428316
traffic,41001,SIDE,matched_old_epoch,column_002,0.4654197794221836
traffic,41001,SIDE,matched_old_epoch,column_003,0.8649258074320803
