source,seed,arm,round,batch,wall_ms,cuda_stream_ms
ettm1,81551,TOKEN_GATE,5,1,10.277587483869866,10.2500319480896
ettm1,81551,TOKEN_GATE,5,32,10.988190479110926,10.954224109649658
ettm1,81551,TOKEN_GATE_ENTROPY,0,1,10.646376496879384,10.625648021697998
ettm1,81551,TOKEN_GATE_ENTROPY,0,32,11.070201988331974,11.047728061676025
ettm1,81551,TOKEN_GATE_ENTROPY,1,1,10.220872034551576,10.201008319854736
ettm1,81551,TOKEN_GATE_ENTROPY,1,32,10.745107021648437,10.721808433532715
ettm1,81551,TOKEN_GATE_ENTROPY,2,1,10.51071152323857,10.491759777069092
ettm1,81551,TOKEN_GATE_ENTROPY,2,32,11.204132490092888,11.179296016693115
ettm1,81551,TOKEN_GATE_ENTROPY,3,1,10.775357513921335,10.74395227432251
ettm1,81551,TOKEN_GATE_ENTROPY,3,32,10.884414979955181,10.772751808166504
ettm1,81551,TOKEN_GATE_ENTROPY,4,1,10.338960972148925,10.315631866455078
ettm1,81551,TOKEN_GATE_ENTROPY,4,32,10.686042485758662,10.62272024154663
ettm1,81551,TOKEN_GATE_ENTROPY,5,1,10.544215008849278,10.523039817810059
ettm1,81551,TOKEN_GATE_ENTROPY,5,32,11.317637021420524,11.292208194732666
ettm1,81552,B0,0,1,10.112413467140868,10.085023880004883
ettm1,81552,B0,0,32,10.776507493574172,10.751552104949951
ettm1,81552,B0,1,1,10.310819488950074,10.290463924407959
ettm1,81552,B0,1,32,10.429257003124803,10.400688171386719
ettm1,81552,B0,2,1,10.166293504880741,10.13588809967041
ettm1,81552,B0,2,32,10.488714964594692,10.45628833770752
ettm1,81552,B0,3,1,10.519430012209341,10.499727725982666
ettm1,81552,B0,3,32,11.051598499761894,11.025952339172363
ettm1,81552,B0,4,1,9.923868492478505,9.90500783920288
ettm1,81552,B0,4,32,10.49501949455589,10.475103855133057
ettm1,81552,B0,5,1,10.207268001977354,10.18387222290039
ettm1,81552,B0,5,32,10.680037521524355,10.659823894500732
ettm1,81552,MAG_ONLY,0,1,10.507214989047498,10.484351634979248
ettm1,81552,MAG_ONLY,0,32,11.300432990537956,11.269328117370605
ettm1,81552,MAG_ONLY,1,1,10.62145599280484,10.59668779373169
ettm1,81552,MAG_ONLY,1,32,11.343364516505972,11.322495937347412
ettm1,81552,MAG_ONLY,2,1,10.790862492285669,10.763551712036133
ettm1,81552,MAG_ONLY,2,32,11.21204550145194,11.191424369812012
ettm1,81552,MAG_ONLY,3,1,10.690733004594222,10.672271728515625
ettm1,81552,MAG_ONLY,3,32,11.765570030547678,11.738768100738525
ettm1,81552,MAG_ONLY,4,1,10.705165506806225,10.679391860961914
ettm1,81552,MAG_ONLY,4,32,11.204070498934016,11.182384014129639
ettm1,81552,MAG_ONLY,5,1,11.06335999793373,11.035040378570557
ettm1,81552,MAG_ONLY,5,32,11.387856007786468,11.35700798034668
ettm1,81552,PETSA_XY_OFFLINE,0,1,10.801396507304162,10.774223804473877
ettm1,81552,PETSA_XY_OFFLINE,0,32,11.287017026916146,11.265359878540039
ettm1,81552,PETSA_XY_OFFLINE,1,1,10.589375015115365,10.56499195098877
ettm1,81552,PETSA_XY_OFFLINE,1,32,11.34570749127306,11.320863723754883
ettm1,81552,PETSA_XY_OFFLINE,2,1,10.532195505220443,10.508880138397217
ettm1,81552,PETSA_XY_OFFLINE,2,32,11.057032970711589,11.027616024017334
ettm1,81552,PETSA_XY_OFFLINE,3,1,10.193090012762696,10.171648025512695
ettm1,81552,PETSA_XY_OFFLINE,3,32,10.673783486708999,10.653584003448486
ettm1,81552,PETSA_XY_OFFLINE,4,1,10.762205522041768,10.74067211151123
ettm1,81552,PETSA_XY_OFFLINE,4,32,11.513366014696658,11.483648300170898
ettm1,81552,PETSA_XY_OFFLINE,5,1,10.258316004183143,10.237232208251953
ettm1,81552,PETSA_XY_OFFLINE,5,32,11.11852002213709,11.087984085083008
ettm1,81552,PLAIN,0,1,11.070686508901417,11.051039695739746
ettm1,81552,PLAIN,0,32,10.644334979588166,10.619935989379883
ettm1,81552,PLAIN,1,1,10.348342009820044,10.326623916625977
ettm1,81552,PLAIN,1,32,11.213306977879256,11.189280033111572
ettm1,81552,PLAIN,2,1,10.528207494644448,10.509807586669922
ettm1,81552,PLAIN,2,32,11.40418549766764,11.372416019439697
ettm1,81552,PLAIN,3,1,13.770851481240243,13.726832389831543
ettm1,81552,PLAIN,3,32,10.712951014284045,10.690815925598145
ettm1,81552,PLAIN,4,1,10.423859988804907,10.398047924041748
ettm1,81552,PLAIN,4,32,10.887246986385435,10.855615615844727
ettm1,81552,PLAIN,5,1,10.169536515604705,10.149744033813477
ettm1,81552,PLAIN,5,32,10.779075499158353,10.760047912597656
ettm1,81552,TOKEN_GATE,0,1,10.771759989438578,10.740047931671143
ettm1,81552,TOKEN_GATE,0,32,10.949792980682105,10.927103996276855
ettm1,81552,TOKEN_GATE,1,1,10.525800491450354,10.48960018157959
ettm1,81552,TOKEN_GATE,1,32,11.250168521655723,11.226191997528076
ettm1,81552,TOKEN_GATE,2,1,10.377743019489571,10.35969591140747
ettm1,81552,TOKEN_GATE,2,32,10.850686026969925,10.826144218444824
