source,seed,round,batch,baseline,wall_ratio,cuda_ratio
ettm1,81551,4,32,B0,1.0128777121771086,1.012615156694631
ettm1,81551,4,32,PLAIN,1.0108560799400934,1.0107148556326278
ettm1,81551,4,32,TOKEN_GATE,1.0063315055027957,1.0060476861361456
ettm1,81551,4,32,TOKEN_GATE_ENTROPY,1.0410660006014005,1.0448397189284468
ettm1,81551,4,32,PETSA_XY_OFFLINE,1.0160251108940277,1.016441804292332
ettm1,81551,5,1,B0,1.0598654070841487,1.0593172134130944
ettm1,81551,5,1,PLAIN,1.0488252561643194,1.051392625374621
ettm1,81551,5,1,TOKEN_GATE,1.0436316891045165,1.0436166473800206
ettm1,81551,5,1,TOKEN_GATE_ENTROPY,1.0172417744430184,1.0165412430635024
ettm1,81551,5,1,PETSA_XY_OFFLINE,0.9981180349597607,0.9977926956626939
ettm1,81551,5,32,B0,1.0441427537358767,1.0442740790655742
ettm1,81551,5,32,PLAIN,1.0190331510637267,1.0191014551746547
ettm1,81551,5,32,TOKEN_GATE,0.9986690737564572,0.9998057256985289
ettm1,81551,5,32,TOKEN_GATE_ENTROPY,0.9695986880710098,0.9698808059987136
ettm1,81551,5,32,PETSA_XY_OFFLINE,0.9858915085193273,0.9860996342216893
ettm1,81552,0,1,B0,1.039041275674644,1.0395961139731253
ettm1,81552,0,1,PLAIN,0.9491023867940928,0.9487208374630163
ettm1,81552,0,1,TOKEN_GATE,0.9754408749683933,0.976192257397858
ettm1,81552,0,1,TOKEN_GATE_ENTROPY,0.9772658489916234,0.9776093528465603
ettm1,81552,0,1,PETSA_XY_OFFLINE,0.9727644922526701,0.973095772395756
ettm1,81552,0,32,B0,1.0486173741609879,1.0481582572791768
ettm1,81552,0,32,PLAIN,1.0616382340660961,1.0611484032144944
ettm1,81552,0,32,TOKEN_GATE,1.0320225241220962,1.0313188307908805
ettm1,81552,0,32,TOKEN_GATE_ENTROPY,1.0248840461110598,1.0238410083052725
ettm1,81552,0,32,PETSA_XY_OFFLINE,1.0011886190647021,1.0003522514037146
ettm1,81552,1,1,B0,1.030127237140333,1.0297580236977848
ettm1,81552,1,1,PLAIN,1.0263920522462076,1.0261521944912613
ettm1,81552,1,1,TOKEN_GATE,1.0090877175025483,1.0102089317322267
ettm1,81552,1,1,TOKEN_GATE_ENTROPY,1.0221726179301953,1.02172438404675
