scope,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,bootstrap_seed,replicates
T2,SELECTED,RAW,S0,PATH,POINT,0.13902658658444342,0.13693065985030783,-1.5306482393547538,-2.420362596651911,-0.795626018440136,61916,2000
T2,SELECTED,RAW,S1,PATH,POINT,0.1373049642919727,0.1358947811107622,-1.0377022352765104,-2.1373455319379073,-0.0018534512969182093,61916,2000
T2,SELECTED,RAW,S2,PATH,POINT,0.14131658669347363,0.14016723075127988,-0.8199890488192894,-2.0993789590689733,0.37121059443303844,61916,2000
T2,SELECTED,RAW,S3,PATH,POINT,0.14043457045775537,0.13934474479135173,-0.7821074759837531,-1.9969116092752845,0.31937460448068256,61916,2000
T2,SELECTED,RAW,MEAN,PATH,POINT,0.1395206770069113,0.1380843541259254,-1.0401778609009078,-2.1426414362522306,-0.04769077134246797,61916,2000
T2,SELECTED,RAW,WORST,PATH,POINT,0.14131658669347363,0.14016723075127988,-0.8199890488192894,-2.2210145582184424,0.3405718403339859,61916,2000
ALL,SELECTED,RAW,S0,PATH,POINT,0.10092715249734714,0.09976030828680493,-1.1696477592948102,-2.1736632077747435,-0.08337374930344492,61916,2000
ALL,SELECTED,RAW,S1,PATH,POINT,0.1069693438594685,0.10690167504460846,-0.06330005103457005,-1.0762411094186977,0.8748588101877562,61916,2000
ALL,SELECTED,RAW,S2,PATH,POINT,0.11051567460732542,0.11051116264271399,-0.004082813449369299,-1.2905382004202663,1.0767990955366715,61916,2000
ALL,SELECTED,RAW,S3,PATH,POINT,0.1177542275340503,0.11913854846434284,1.161942081833288,-0.08224872639124971,2.241402124916552,61916,2000
ALL,SELECTED,RAW,MEAN,PATH,POINT,0.10904159962454785,0.10907792360961756,0.033300950245177194,-1.0010642480303886,0.9547951876879495,61916,2000
ALL,SELECTED,RAW,WORST,PATH,POINT,0.11804823294595639,0.11941271045098556,1.1426568410313749,-0.17708330782989531,2.2413423513733686,61916,2000
ADDITIONAL,SELECTED,RAW,S0,PATH,POINT,0.10946811230352915,0.1082623044286577,-1.1137836768162044,-1.867649576903621,-0.4611560573012214,61916,2000
ADDITIONAL,SELECTED,RAW,S1,PATH,POINT,0.11348446940421024,0.11298707827157896,-0.4402194837145335,-1.3153377479288202,0.38895326197279384,61916,2000
ADDITIONAL,SELECTED,RAW,S2,PATH,POINT,0.11675027325466295,0.11626702097846262,-0.4156400259793772,-1.469715661699617,0.5576472483913322,61916,2000
ADDITIONAL,SELECTED,RAW,S3,PATH,POINT,0.12190736265462933,0.12192377572515349,0.013461747248675996,-0.8841428250261246,0.7721075289714268,61916,2000
ADDITIONAL,SELECTED,RAW,MEAN,PATH,POINT,0.11540255440425792,0.11486004485096318,-0.4723222544433741,-1.3442372414555874,0.3032646961704647,61916,2000
ADDITIONAL,SELECTED,RAW,WORST,PATH,POINT,0.12234837077248846,0.12233501870511757,-0.010914346122821357,-1.0373753078833587,0.7929028326900658,61916,2000
T0,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.08282475864751185,0.08523022827887197,2.8223198270565053,1.7628943927209841,3.9338295452817906,61916,2000
T0,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.09510544808161775,0.09762468145299348,2.580529159102812,1.4861348630216835,3.8453307111069157,61916,2000
T0,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.0993921531087871,0.10190892423603877,2.469627803569381,1.3338492817614338,3.6083704393331617,61916,2000
T0,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.11334819124303377,0.11480022176099972,1.2648325026661484,0.6079509186258983,2.03887644064802,61916,2000
T0,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.09766763777023763,0.09989101393222599,2.2258019760384866,1.4108820993320255,3.084250438503481,61916,2000
T0,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.11334819124303377,0.11480022176099972,1.2648325026661484,0.6079509186258983,2.0489961447919787,61916,2000
T1,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.08000596172517112,0.08161036915703702,1.9659357609063859,1.3002277328305576,2.5390142901355657,61916,2000
T1,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.09173691039528825,0.0940109499977998,2.41890928935913,1.5818648287963812,3.121540833523296,61916,2000
T1,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.09395849594985316,0.09604120648989342,2.1685593258966724,1.1201057724141634,3.1235011626692604,61916,2000
T1,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.10770677816561441,0.10971268881087423,1.8283305850954594,0.9030747083782017,2.801224652440805,61916,2000
T1,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.09335203655898174,0.09534380361390113,2.0890367065542517,1.3746025130342336,2.6982887303145238,61916,2000
T1,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.10770677816561441,0.10971268881087423,1.8283305850954594,0.9030747083782017,2.801224652440805,61916,2000
T2,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.13208449527972033,0.12856610506327273,-2.7366390346165077,-6.819607458834189,1.3758826587799016,61916,2000
T2,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.13081218708322429,0.12974294788371551,-0.824121246626133,-5.086582431066656,3.6497053846869973,61916,2000
T2,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.13589768755905113,0.1335286213458779,-1.774201058390817,-5.895935704185897,2.1988926169470844,61916,2000
T2,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.13570339358467687,0.13157882228344767,-3.134677168901871,-7.518243881648208,1.0054666822096225,61916,2000
T2,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.13362444087666814,0.13085412414407846,-2.117103110590071,-6.313828283068018,1.923629377219275,61916,2000
T2,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.13589768755905113,0.1335286213458779,-1.774201058390817,-6.415618726440625,1.5918649784311865,61916,2000
ALL,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.09830507188413444,0.09846890083306059,0.16637633561473222,-2.2082462357791255,2.286588058850308,61916,2000
ALL,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.10588484852004343,0.10712619311150291,1.1587685097401186,-0.863568356520163,3.1522034908313095,61916,2000
ALL,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.10974944553923045,0.11049291735727003,0.6728683030746843,-1.3995572003850272,2.622800595512728,61916,2000
