source,method,seed,variant,crossing_reference,window,lead_start,lead_end,n_origins,n_series,scaled_pinball,pce,coverage80,coverage_deficit80,scaled_width80,scaled_mae,raw_mae,scaled_rmse,raw_quantile_crossing_rate,raw_quantile_crossing_any_rate
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,prefix_256,1,256,209,32,0.18426567572163782,0.05465471428927432,0.6665956050014952,0.13340439499850484,0.4847237006553684,0.22319541737847293,74.7573870377722,0.35164134271539166,0.001489593651876495,0.006889087731758373
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,full_256,1,256,209,32,0.18046590466885004,0.029344002836755714,0.7930622009569378,0.00693779904306225,0.6688347054039678,0.22319541737847293,74.7573870377722,0.35164134271539166,0.001489593651876495,0.006889087731758373
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,tail_129_256,129,256,209,32,0.2006159200314544,0.03816495547581074,0.7874457984449761,0.012554201555023972,0.7305563113588968,0.2468461235564991,83.49869914659473,0.38520517286288225,0.0016283829246411484,0.007740075508373205
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,block_1,1,64,209,32,0.14900584021670793,0.02080036591241361,0.8176701741925837,-0.017670174192583692,0.6007072230513308,0.18675373444878834,60.67204471163309,0.29178295851786024,0.001308897465610048,0.005924790669856459
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,block_2,65,128,209,32,0.1716259383957835,0.029001569976076558,0.7796870327452152,0.020312967254784743,0.6135189758467474,0.2123356879521054,71.36010514626626,0.33395920938566137,0.0013927112926136365,0.006151409240430622
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,block_3,129,192,209,32,0.1997090406144129,0.037230186320441255,0.776215329694976,0.023784670305023972,0.7008965252030899,0.2462830651202741,83.50392210009423,0.38371682348243574,0.0014660118869617223,0.006599973833732057
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,block_4,193,256,209,32,0.20152279944849588,0.03988305131911218,0.7986762671949761,0.0013237328050239652,0.7602160975147036,0.24740918199272405,83.49347619309522,0.3865458920993462,0.001790753962320574,0.008880177183014355
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,prefix_64,1,64,209,32,0.14900584021670793,0.02080036591241361,0.8176701741925837,-0.017670174192583692,0.6007072230513308,0.18675373444878834,60.67204471163309,0.29178295851786024,0.001308897465610048,0.005924790669856459
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,prefix_128,1,128,209,32,0.1603158893062457,0.02220537509137427,0.7986786034688995,0.0013213965311005237,0.6071130994490391,0.1995447112004469,66.01607492894968,0.31386532852958793,0.0013508043791118423,0.0060380999551435405
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,prefix_192,1,192,209,32,0.1734469397423014,0.026296753167641324,0.7911908455442583,0.008809154455741673,0.638374241367056,0.21512416250705596,71.84535731933119,0.33898579248583466,0.001389206881728469,0.00622539124800638
Electricity,F0_MEDIAN,0,affine,pre_sort_raw_q,prefix_256,1,256,209,32,0.18046590466885004,0.029344002836755714,0.7930622009569378,0.00693779904306225,0.6688347054039678,0.22319541737847293,74.7573870377722,0.35164134271539166,0.001489593651876495,0.006889087731758373
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,full_256,1,256,209,32,0.18073124700653442,0.037806908517743223,0.719196228319378,0.08080377168062206,0.5484514252460939,0.22391832116056704,74.93142886621138,0.35159858174079084,0.000327224366402512,0.0014811976674641146
