panel,kind,arm,trained_b,received_b,i,o,condition,nmae,pinball
electricity,shape,MAG_ONLY,81551,81552,81551,81551,RAMP8_D32,0.494190291855116,0.38729564270482336
electricity,shape,MAG_ONLY,81551,81552,81551,81551,STEP12_D17,0.3577011593549261,0.289330287070145
electricity,shape,MAG_ONLY,81551,81552,81551,81551,STEP12_D63,0.20480753808088162,0.16988290280981805
electricity,shape,MAG_ONLY,81551,81552,81551,81551,STEP6_D17,0.2539584473907899,0.20722627385645437
electricity,shape,MAG_ONLY,81551,81552,81551,81551,STEP6_D63,0.1882875848629004,0.1547949876051195
electricity,shape,MAG_ONLY,81551,81552,81551,81551,STEP8_D31,0.23133726710371,0.19142128320665938
electricity,shape,MAG_ONLY,81551,81552,81551,81551,STEP8_D33,0.23372782237009349,0.19205424342948438
electricity,shape,MAG_ONLY,81551,81552,81551,81552,PAIRED_SHIFT8_D32,0.22321173730071955,0.18380842570069106
electricity,shape,MAG_ONLY,81551,81552,81551,81552,PULSE8_D32,2.9320077631712462,2.817717194433727
electricity,shape,MAG_ONLY,81551,81552,81551,81552,RAMP8_D32,0.48802480111974644,0.38224969036775935
electricity,shape,MAG_ONLY,81551,81552,81551,81552,STEP12_D17,0.3452676915473594,0.28032992135862284
electricity,shape,MAG_ONLY,81551,81552,81551,81552,STEP12_D63,0.20557461195262347,0.1703951616340414
electricity,shape,MAG_ONLY,81551,81552,81551,81552,STEP6_D17,0.25153668059232615,0.2055424828308057
electricity,shape,MAG_ONLY,81551,81552,81551,81552,STEP6_D63,0.18854161773702716,0.15496302670970324
electricity,shape,MAG_ONLY,81551,81552,81551,81552,STEP8_D31,0.22843905115117816,0.18890757270193825
electricity,shape,MAG_ONLY,81551,81552,81551,81552,STEP8_D33,0.22979394541849923,0.18881189518067779
electricity,shape,MAG_ONLY,81551,81552,81552,81551,PAIRED_SHIFT8_D32,0.2244498680011928,0.1847830464118426
electricity,shape,MAG_ONLY,81551,81552,81552,81551,PULSE8_D32,2.9286115913097706,2.8149619946858873
electricity,shape,MAG_ONLY,81551,81552,81552,81551,RAMP8_D32,0.4920729244344539,0.3854718453955475
electricity,shape,MAG_ONLY,81551,81552,81552,81551,STEP12_D17,0.3534860501107661,0.28639784699064086
electricity,shape,MAG_ONLY,81551,81552,81552,81551,STEP12_D63,0.2053403738516969,0.17006629522809014
electricity,shape,MAG_ONLY,81551,81552,81552,81551,STEP6_D17,0.25421986312527134,0.2074798975447518
electricity,shape,MAG_ONLY,81551,81552,81552,81551,STEP6_D63,0.18828391812369208,0.15476453618111338
electricity,shape,MAG_ONLY,81551,81552,81552,81551,STEP8_D31,0.229676426731765,0.18993373192735097
electricity,shape,MAG_ONLY,81551,81552,81552,81551,STEP8_D33,0.23163024263147333,0.19014753868205658
electricity,shape,MAG_ONLY,81551,81552,81552,81552,PAIRED_SHIFT8_D32,0.22132001401769097,0.18225112901607102
electricity,shape,MAG_ONLY,81551,81552,81552,81552,PULSE8_D32,2.937231051824881,2.8229663342665656
electricity,shape,MAG_ONLY,81551,81552,81552,81552,RAMP8_D32,0.4864574663163711,0.3809567000721173
electricity,shape,MAG_ONLY,81551,81552,81552,81552,STEP12_D17,0.34171220381256817,0.2778115194350816
electricity,shape,MAG_ONLY,81551,81552,81552,81552,STEP12_D63,0.20650713073893598,0.17082141131744136
electricity,shape,MAG_ONLY,81551,81552,81552,81552,STEP6_D17,0.2515523822938029,0.2055770495162879
electricity,shape,MAG_ONLY,81551,81552,81552,81552,STEP6_D63,0.18853500410395985,0.15492335459191353
electricity,shape,MAG_ONLY,81551,81552,81552,81552,STEP8_D31,0.22678362622415718,0.18747648583302956
electricity,shape,MAG_ONLY,81551,81552,81552,81552,STEP8_D33,0.22775299585515327,0.18696478393352875
electricity,shape,MAG_ONLY,81552,81551,81551,81551,PAIRED_SHIFT8_D32,0.21220498297929818,0.1731272976130955
electricity,shape,MAG_ONLY,81552,81551,81551,81551,PULSE8_D32,3.0013370159267763,2.904853045416968
electricity,shape,MAG_ONLY,81552,81551,81551,81551,RAMP8_D32,0.48862156975159066,0.3821298446047245
electricity,shape,MAG_ONLY,81552,81551,81551,81551,STEP12_D17,0.28874334150972436,0.23685904849488892
electricity,shape,MAG_ONLY,81552,81551,81551,81551,STEP12_D63,0.2248020732699381,0.18164789291005065
electricity,shape,MAG_ONLY,81552,81551,81551,81551,STEP6_D17,0.23450724298416264,0.19182130135981676
electricity,shape,MAG_ONLY,81552,81551,81551,81551,STEP6_D63,0.2054912010671025,0.1667628033829815
electricity,shape,MAG_ONLY,81552,81551,81551,81551,STEP8_D31,0.21306118768434013,0.17429336956894007
electricity,shape,MAG_ONLY,81552,81551,81551,81551,STEP8_D33,0.21635617268900498,0.17587794744942442
electricity,shape,MAG_ONLY,81552,81551,81551,81552,PAIRED_SHIFT8_D32,0.21181140527320783,0.17279468179948687
electricity,shape,MAG_ONLY,81552,81551,81551,81552,PULSE8_D32,3.0035610658854996,2.9074045200994254
electricity,shape,MAG_ONLY,81552,81551,81551,81552,RAMP8_D32,0.48588646315893685,0.3798782208420046
electricity,shape,MAG_ONLY,81552,81551,81551,81552,STEP12_D17,0.28486643592707184,0.233874394448303
electricity,shape,MAG_ONLY,81552,81551,81551,81552,STEP12_D63,0.22455541902463824,0.18156017579023892
electricity,shape,MAG_ONLY,81552,81551,81551,81552,STEP6_D17,0.23398334620900055,0.19136617419729327
electricity,shape,MAG_ONLY,81552,81551,81551,81552,STEP6_D63,0.205189409829007,0.16651915006147897
electricity,shape,MAG_ONLY,81552,81551,81551,81552,STEP8_D31,0.21291676563040937,0.17415385724239957
electricity,shape,MAG_ONLY,81552,81551,81551,81552,STEP8_D33,0.21577112622334021,0.1753642987354744
electricity,shape,MAG_ONLY,81552,81551,81552,81551,PAIRED_SHIFT8_D32,0.21185803553707613,0.1728241776056125
electricity,shape,MAG_ONLY,81552,81551,81552,81551,PULSE8_D32,3.0043594073152304,2.908658099459375
