dataset,seed,role,channel,head_mse,lora_head_mse,lora_added_gain_percent
traffic,41000,selected,column_031,0.3674452233224447,0.2947730447588329,19.777690374230197
traffic,41000,matched_old_epoch,column_000,0.8921171445617991,0.8300393551140184,6.958479592752684
traffic,41000,matched_old_epoch,column_001,0.5296031450712566,0.461917972894869,12.780356915607202
traffic,41000,matched_old_epoch,column_002,0.4898969101290798,0.48576834774251776,0.842741054536199
traffic,41000,matched_old_epoch,column_003,0.9066223453454746,0.8371210036439728,7.665963899777679
traffic,41000,matched_old_epoch,column_004,0.5635311135908021,0.45870293421203745,18.602021583298722
traffic,41000,matched_old_epoch,column_005,0.5679771894065473,0.48184994248683277,15.16385666996677
traffic,41000,matched_old_epoch,column_006,0.47171349833460735,0.40930717611294587,13.229708804600268
traffic,41000,matched_old_epoch,column_007,0.2964942667387276,0.2606818660726536,12.07861489532008
traffic,41000,matched_old_epoch,column_008,0.7158374561292506,0.6384276943382053,10.813874173282754
traffic,41000,matched_old_epoch,column_009,0.5437938870226059,0.492893567054715,9.360222904781374
traffic,41000,matched_old_epoch,column_010,0.5946471879827743,0.541744892614713,8.89641731049331
traffic,41000,matched_old_epoch,column_011,0.35681478069444134,0.3080112769452512,13.677545435255679
traffic,41000,matched_old_epoch,column_012,1.368660219401734,1.2396915816431568,9.422984311982981
traffic,41000,matched_old_epoch,column_013,0.48939308283877,0.4733017832209704,3.2880112494562685
traffic,41000,matched_old_epoch,column_014,0.4249237874432677,0.3913722368901811,7.895898404502982
traffic,41000,matched_old_epoch,column_015,0.8337092573246653,0.7769313759649548,6.810273588889744
traffic,41000,matched_old_epoch,column_016,0.3755554808038349,0.3605993910017896,3.9823915683598643
traffic,41000,matched_old_epoch,column_017,0.2562130630803876,0.2318153750668975,9.522421581539444
traffic,41000,matched_old_epoch,column_018,0.2936999294015995,0.2609992112779736,11.134057195809396
traffic,41000,matched_old_epoch,column_019,0.8366841269620252,0.7136120047450328,14.70950843347101
traffic,41000,matched_old_epoch,column_020,0.18159878774731955,0.14677908507997392,19.173973075081598
traffic,41000,matched_old_epoch,column_021,0.9446836316527467,0.8795421670886389,6.8955851865604245
traffic,41000,matched_old_epoch,column_022,0.3936418276975619,0.35746038137193914,9.19146385871911
traffic,41000,matched_old_epoch,column_023,0.47583820770605945,0.47246576525184164,0.7087372135322667
traffic,41000,matched_old_epoch,column_024,0.3914612080199425,0.34762421033871604,11.198299290741788
traffic,41000,matched_old_epoch,column_025,0.6838841447588321,0.6298747065322443,7.897454362775714
traffic,41000,matched_old_epoch,column_026,0.4148283642188614,0.315244265830959,24.00609673242168
traffic,41000,matched_old_epoch,column_027,0.1179049831803038,0.1205562046545367,-2.2486085004385026
traffic,41000,matched_old_epoch,column_028,0.5499296346661637,0.5128816434602679,6.736860294569493
traffic,41000,matched_old_epoch,column_029,1.1071248386260468,1.0152512865908891,8.298391367424625
traffic,41000,matched_old_epoch,column_030,0.4245934312363574,0.38294590732120853,9.808800808311384
