method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
A3,A2,selected,d24_c0,73101,0.8019630859369569,0.8001808148624262,-0.22273354239779972,-0.33465199317947847,0.17911828122016782,2000
A3,A2,selected,d24_c0,73102,0.832819723248867,0.8320951343472176,-0.08708005512108126,-0.13740007850287023,0.11754809420654025,2000
A3,A2,selected,d24_c0,MEAN,0.8173914045929119,0.8161379746048218,-0.15358064776939212,-0.23353287319706778,0.1488517787253187,2000
A3,A1,selected,d24_c0,73101,0.8019630859369569,0.7621246085384648,-5.227291830254743,-9.72198386271294,-2.6675631578314385,2000
A3,A1,selected,d24_c0,73102,0.832819723248867,0.7948993878081223,-4.770457245577617,-8.300470334428956,-1.0800529206175746,2000
A3,A1,selected,d24_c0,MEAN,0.8173914045929119,0.7785119981732935,-4.994066438390845,-8.986443905179854,-1.8807509164965408,2000
A3,A0,selected,d24_c0,73101,0.8019630859369569,0.3864527640350116,-107.51904516441785,-180.4758772729533,-15.069669905276516,2000
A3,A0,selected,d24_c0,73102,0.832819723248867,0.3903507151925729,-113.3516580949543,-219.5805722986744,-7.741694955445734,2000
A3,A0,selected,d24_c0,MEAN,0.8173914045929119,0.38840173961379226,-110.44998547269279,-199.30710766707605,-11.345738525801671,2000
A3,A2,selected,d24_c1,73101,0.43207319544778816,0.43116375598681717,-0.21092669509976195,-0.2645714193922491,0.005684775302193879,2000
A3,A2,selected,d24_c1,73102,0.4649306351529887,0.46373584259944367,-0.25764507372294204,-0.3076068984611514,-0.07235149809335613,2000
A3,A2,selected,d24_c1,MEAN,0.4485019153003884,0.44744979929313045,-0.2351360999424001,-0.28706878088962234,-0.05133201727679423,2000
A3,A1,selected,d24_c1,73101,0.43207319544778816,0.4054469399886704,-6.567136863793279,-8.65689557439974,-0.8806388457155395,2000
A3,A1,selected,d24_c1,73102,0.4649306351529887,0.43940879398687777,-5.808222665400983,-7.342872230080172,0.1124265475379181,2000
A3,A1,selected,d24_c1,MEAN,0.4485019153003884,0.42242786698777407,-6.1724261939776275,-7.9658445236674895,-0.546922156270189,2000
A3,A0,selected,d24_c1,73101,0.43207319544778816,0.3576126087215043,-20.82157757034542,-169.11524594410687,40.623016149200836,2000
A3,A0,selected,d24_c1,73102,0.4649306351529887,0.3165990831821712,-46.85154185537153,-175.45027875424827,25.96854071954606,2000
A3,A0,selected,d24_c1,MEAN,0.4485019153003884,0.3371058459518378,-33.04483463762469,-172.39085491205418,34.02426639972609,2000
A3,A2,selected,d24_c2,73101,0.1485761802697481,0.14850334835776108,-0.04904395274074827,-0.3813684416349627,-0.02732880554014402,2000
A3,A2,selected,d24_c2,73102,0.1652899514020294,0.1657556146175218,0.280933600087645,0.22602168139695883,0.43866092814422997,2000
A3,A2,selected,d24_c2,MEAN,0.15693306583588873,0.15712948148764144,0.1250024183196717,0.07366887278639753,0.14230352699459864,2000
A3,A1,selected,d24_c2,73101,0.1485761802697481,0.1354267099784736,-9.709657934808165,-12.836861384314723,-9.221805538711461,2000
A3,A1,selected,d24_c2,73102,0.1652899514020294,0.15523757237246952,-6.475480694480774,-9.549663848614356,-6.091121234291539,2000
A3,A1,selected,d24_c2,MEAN,0.15693306583588873,0.14533214117547155,-7.982353088991112,-10.995460438872014,-7.707185427661466,2000
A3,A0,selected,d24_c2,73101,0.1485761802697481,0.010287144934287937,-1344.289754045663,-2649.8392236800623,-584.8758991395368,2000
A3,A0,selected,d24_c2,73102,0.1652899514020294,0.00876420533445563,-1785.9662125008397,-3816.9354899451278,-1051.3613127919405,2000
A3,A0,selected,d24_c2,MEAN,0.15693306583588873,0.009525675134371784,-1547.4744689709435,-3163.7317087639,-782.5760292462971,2000
