panel,kind,condition,factor,excluded,removed_cells,gain_pct,change_pp
electricity,shape,STEP6_D63,index_week,139,24,-0.03435629054227465,-0.006674858340510233
electricity,shape,STEP6_D63,index_week,140,24,-0.03038816396288192,-0.0027067317611174993
electricity,shape,STEP6_D63,index_week,141,24,-0.027895977454238843,-0.00021454525247442333
electricity,shape,STEP6_D63,index_week,142,24,-0.019987591186659194,0.007693841015105226
electricity,shape,STEP6_D63,index_week,143,24,-0.029388559483065985,-0.0017071272813015646
electricity,shape,STEP6_D63,index_week,144,24,-0.02559462507452765,0.0020868071272367693
electricity,shape,STEP6_D63,index_week,145,24,-0.02982244800452944,-0.0021410158027650207
electricity,shape,STEP6_D63,index_week,146,24,-0.03021846470294961,-0.0025370325011851887
electricity,shape,STEP6_D63,index_week,147,24,-0.0153299475003481,0.01235148470141632
electricity,shape,STEP6_D63,index_week,148,24,-0.022546623488428404,0.005134808713336016
electricity,shape,STEP6_D63,index_week,149,36,-0.03029467883148808,-0.0026132466297236583
electricity,shape,STEP6_D63,index_week,150,24,-0.025994124708074513,0.0016873074936899074
electricity,shape,STEP6_D63,index_week,151,24,-0.022512298270603397,0.005169133931161023
electricity,shape,STEP6_D63,index_week,152,24,-0.03342028061768268,-0.005738848415918259
electricity,shape,STEP6_D63,index_week,153,24,-0.02235678320259383,0.005324648999170591
electricity,shape,STEP6_D63,index_week,154,24,-0.02859355665290301,-0.0009121244511385886
electricity,shape,STEP6_D63,index_week,155,12,-0.028442949220846964,-0.0007615170190825443
electricity,shape,STEP6_D63,index_week,156,12,-0.023809158861586254,0.003872273340178166
electricity,shape,STEP8_D31,seed,81551,256,-0.05366901014081639,-0.023891293049105335
electricity,shape,STEP8_D31,seed,81552,256,-0.04889502657435435,-0.019117309482643296
electricity,shape,STEP8_D31,seed,81553,256,0.013340100467256212,0.043117817558967264
electricity,shape,STEP8_D31,channel,0,192,-0.012827370179535563,0.016950346912175493
electricity,shape,STEP8_D31,channel,1,192,-0.04403996565405747,-0.014262248562346414
electricity,shape,STEP8_D31,channel,2,192,-0.0234701176838875,0.006307599407823553
electricity,shape,STEP8_D31,channel,3,192,-0.03973929066468926,-0.009961573572978204
electricity,shape,STEP8_D31,index_week,125,24,-0.022088388747795715,0.007689328343915339
electricity,shape,STEP8_D31,index_week,126,24,-0.02605446968453913,0.0037232474071719236
electricity,shape,STEP8_D31,index_week,127,24,-0.028331156159772098,0.001446560931938956
electricity,shape,STEP8_D31,index_week,128,24,-0.034885744114287014,-0.0051080270225759596
electricity,shape,STEP8_D31,index_week,129,24,-0.03521689569533772,-0.005439178603626669
electricity,shape,STEP8_D31,index_week,130,24,-0.0337739741696493,-0.003996257077938246
electricity,shape,STEP8_D31,index_week,131,24,-0.03472875686217978,-0.004951039770468724
