panel,kind,stage,condition,baseline,seed,TRP_nmae,baseline_nmae,gain_pct
electricity,standard,selected,SHIFT8,IDEAL,81551,0.20831734878914462,0.2001398221017803,-4.085906843269638
electricity,standard,selected,SHIFT8,IDEAL,81552,0.21172860027753523,0.20017661067845022,-5.770898787791601
electricity,standard,selected,SHIFT8,B0,81551,0.20831734878914462,0.2083321769911373,0.007117576462178921
electricity,standard,selected,SHIFT8,B0,81552,0.21172860027753523,0.21173237594266703,0.0017832252223959344
electricity,standard,selected,SHIFT8,C3,81551,0.20831734878914462,0.20122481416988133,-3.524681907906002
electricity,standard,selected,SHIFT8,C3,81552,0.21172860027753523,0.20219362089667936,-4.715766668884291
electricity,standard,selected,SHIFT8,MAG_ONLY,81551,0.20831734878914462,0.20107860279960618,-3.599958368893441
electricity,standard,selected,SHIFT8,MAG_ONLY,81552,0.21172860027753523,0.20176955547188408,-4.935851091290577
electricity,standard,selected,SHIFT_POINT,PLAIN,81551,0.19844504079394681,0.19468747026963257,-1.9300525704659899
electricity,standard,selected,SHIFT_POINT,PLAIN,81552,0.19397755432668118,0.1924038526141119,-0.817915905106914
electricity,standard,selected,SHIFT_POINT,ANCHOR,81551,0.19844504079394681,0.19846330631300518,0.009203474132168932
electricity,standard,selected,SHIFT_POINT,ANCHOR,81552,0.19397755432668118,0.19397922357090322,0.0008605273241757416
electricity,standard,selected,SHIFT_POINT,SHUFFLE,81551,0.19844504079394681,0.1984185693129152,-0.013341231681729404
electricity,standard,selected,SHIFT_POINT,SHUFFLE,81552,0.19397755432668118,0.19388090479310174,-0.049849949732072574
electricity,standard,selected,SHIFT_POINT,IDEAL,81551,0.19844504079394681,0.19197112906634775,-3.37233612110579
electricity,standard,selected,SHIFT_POINT,IDEAL,81552,0.19397755432668118,0.19117867636814037,-1.4640115789645858
electricity,standard,selected,SHIFT_POINT,B0,81551,0.19844504079394681,0.19846368824791225,0.009395902157238734
electricity,standard,selected,SHIFT_POINT,B0,81552,0.19397755432668118,0.19397922357090322,0.0008605273241757416
electricity,standard,selected,SHIFT_POINT,C3,81551,0.19844504079394681,0.1946615139123658,-1.943644023689406
electricity,standard,selected,SHIFT_POINT,C3,81552,0.19397755432668118,0.1922021980869313,-0.9236919543172517
electricity,standard,selected,SHIFT_POINT,MAG_ONLY,81551,0.19844504079394681,0.1948228950883304,-1.8591991993416324
electricity,standard,selected,SHIFT_POINT,MAG_ONLY,81552,0.19397755432668118,0.19221696626317114,-0.915937910027953
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,PLAIN,81551,0.3891385477071452,0.3751016908387005,-3.7421470527257084
