dataset,seed,arm,role,channel,valid_count,standardized_mse,standardized_mae,raw_mae
electricity,41001,INDIV_BUDGET,INIT,column_004,5184,0.697297232491731,0.6510484053453834,45.35813300069332
electricity,41001,INDIV_BUDGET,INIT,column_005,5184,0.6776499062713189,0.6449245236389861,164.4224624538459
electricity,41001,INDIV_BUDGET,INIT,column_006,5184,0.9094423126712033,0.5219538509858309,14.882869477208638
electricity,41001,INDIV_BUDGET,INIT,column_007,5184,0.8616294918780146,0.7299061570319181,173.08178148459928
electricity,41001,INDIV_BUDGET,INIT,column_008,5184,0.5200010275348093,0.5530009890808063,49.62818778635394
electricity,41001,INDIV_BUDGET,INIT,column_009,5184,1.2510240029042463,0.8736167307204507,91.62019724488329
electricity,41001,INDIV_BUDGET,INIT,column_010,5184,0.6021741239859497,0.6081423997041125,30.971373356617278
electricity,41001,INDIV_BUDGET,INIT,column_011,5184,2.475923909683118,1.3227714605115726,195.38256151239386
electricity,41001,INDIV_BUDGET,INIT,column_012,5184,0.49097887133251894,0.5417547191200918,41.35898408431334
electricity,41001,INDIV_BUDGET,INIT,column_013,5184,0.7592071370338513,0.6958283880246682,32.11508506579527
electricity,41001,INDIV_BUDGET,INIT,column_014,5184,0.7998346281049328,0.7159517309683221,38.504069568864324
electricity,41001,INDIV_BUDGET,INIT,column_015,5184,0.836375486213791,0.741033223518986,256.61336384205134
electricity,41001,INDIV_BUDGET,INIT,column_016,5184,0.7736373412513782,0.7031002209092818,7.018147060315205
electricity,41001,INDIV_BUDGET,INIT,column_017,5184,0.9077350242920026,0.757379530212931,33.261845684241415
electricity,41001,INDIV_BUDGET,INIT,column_018,5184,0.6414132949716599,0.6376655986186006,129.9716605504054
electricity,41001,INDIV_BUDGET,INIT,column_019,5184,1.8446442625122392,1.1023902991733332,51.283772233296574
electricity,41001,INDIV_BUDGET,INIT,column_020,5184,1.535516546340655,0.9697206822331035,14.216017072149304
electricity,41001,INDIV_BUDGET,INIT,column_021,5184,0.7128765792146737,0.687322674831901,205.41126081424804
electricity,41001,INDIV_BUDGET,INIT,column_022,5184,0.6669245246352425,0.6232409836039203,21.667097096006923
electricity,41001,INDIV_BUDGET,INIT,column_023,5184,0.8009944440954864,0.7023202911227543,21.10214037551441
electricity,41001,INDIV_BUDGET,INIT,column_024,5184,0.7780841963486843,0.7072597965493458,61.44914066556908
electricity,41001,INDIV_BUDGET,INIT,column_025,5184,1.4936407102345817,0.9621356901785745,117.532625244431
electricity,41001,INDIV_BUDGET,INIT,column_026,5184,0.6648743540696908,0.6257068931586723,65.70247124437846
electricity,41001,INDIV_BUDGET,INIT,column_027,5184,1.1985331642616444,0.8828833842774735,15.00235834890135
electricity,41001,INDIV_BUDGET,INIT,column_028,5184,0.8663085643773809,0.7424117829327265,95.14126390253276
electricity,41001,INDIV_BUDGET,INIT,column_029,5184,1.9365222579420627,1.1179862055200998,112.30759877559055
electricity,41001,INDIV_BUDGET,INIT,column_030,5184,0.8813225988594284,0.712421505226572,106.18277416680388
electricity,41001,INDIV_BUDGET,INIT,column_031,5184,1.015131146640435,0.8341623221587028,97.34770925135462
electricity,41001,INDIV_BUDGET,selected,column_000,5184,0.3607363022022979,0.3176600878187283,7.830093100126363
electricity,41001,INDIV_BUDGET,selected,column_001,5184,0.483829384255615,0.5491304729934828,14.426586851357204
electricity,41001,INDIV_BUDGET,selected,column_002,5184,0.000696138003715029,0.0159257304161948,0.9295682135193245
electricity,41001,INDIV_BUDGET,selected,column_003,5184,0.5646356402637293,0.5719239933613057,87.67871949425599
electricity,41001,INDIV_BUDGET,selected,column_004,5184,0.4937714170060237,0.5357947675132622,37.32848452804283
electricity,41001,INDIV_BUDGET,selected,column_005,5184,0.5145550298501075,0.5563506010817317,141.84068439726767
electricity,41001,INDIV_BUDGET,selected,column_006,5184,0.745436315849409,0.45786300220941395,13.055398072943007
electricity,41001,INDIV_BUDGET,selected,column_007,5184,0.75172623130007,0.682854421889367,161.92445932481627
electricity,41001,INDIV_BUDGET,selected,column_008,5184,0.506325675769323,0.5593211843761872,50.19538358737222
electricity,41001,INDIV_BUDGET,selected,column_009,5184,1.0368539984610083,0.7784206300886867,81.63654513506935
electricity,41001,INDIV_BUDGET,selected,column_010,5184,0.4825844678938151,0.5339449404903766,27.192657693083415
electricity,41001,INDIV_BUDGET,selected,column_011,5184,1.8637159107803034,1.114115909132562,164.56268270547935
electricity,41001,INDIV_BUDGET,selected,column_012,5184,0.4567924275473797,0.49725610049835617,37.96184217784418
electricity,41001,INDIV_BUDGET,selected,column_013,5184,0.5608712477986326,0.565647323620447,26.10674158736116
electricity,41001,INDIV_BUDGET,selected,column_014,5184,0.6486078846249556,0.6400513643743186,34.422128190378956
electricity,41001,INDIV_BUDGET,selected,column_015,5184,0.7928264189342079,0.7145252606677348,247.43388672824898
electricity,41001,INDIV_BUDGET,selected,column_016,5184,0.6461952420725827,0.6212538331743462,6.201179623245561
electricity,41001,INDIV_BUDGET,selected,column_017,5184,0.7329020191593975,0.6754604956667107,29.664206486212954
electricity,41001,INDIV_BUDGET,selected,column_018,5184,0.4347199399593702,0.522071967829909,106.41088484727267
