arm,seed,policy,condition,channel,origin,normalized_MSE,raw_MAE
I0,73101,fixed512,standard,1,25344,0.31432572942382137,9.400850613911947
I0,73101,fixed512,standard,1,25440,0.2811513282492682,8.000511169433594
I0,73101,fixed512,standard,1,25512,0.28103797471712827,8.746957937876383
I0,73101,fixed512,standard,1,25608,0.10105225748843101,5.341774622599284
I0,73101,fixed512,standard,1,25680,0.10029922965719779,5.360943794250488
I0,73101,fixed512,standard,1,25776,0.10555745929224179,4.616247177124023
I0,73101,fixed512,standard,1,25848,0.11663679967525187,4.996472040812175
I0,73101,fixed512,standard,1,25944,0.11076933059495649,4.713408470153809
I0,73101,fixed512,standard,1,26016,0.46901653071338006,11.525471369425455
I0,73101,fixed512,standard,1,26112,0.9671912986815384,17.126350084940594
I0,73101,fixed512,standard,1,26184,0.15333617985455017,6.5539093017578125
I0,73101,fixed512,standard,1,26280,0.08421891130584629,4.264838854471843
