cell,rule,candidate,loss
ettm2_later_233_34000_native,SPREAD4,ettm2_later_233_34000_native_0_step900,0.10644765947309648
ettm2_later_233_34000_native,SPREAD4,ettm2_later_233_34000_native_1_step150,0.09618964241892673
ettm2_later_233_34000_native,SPREAD4,ettm2_later_233_34000_native_1_step450,0.1001398377952041
ettm2_later_233_34000_native,SPREAD4,ettm2_later_233_34000_native_1_step900,0.10629367761435352
ettm2_later_233_34000_native,ALL16,ettm2_later_233_34000_native_0_step0,0.1361636567851273
ettm2_later_233_34000_native,ALL16,ettm2_later_233_34000_native_0_step150,0.13470809447243753
ettm2_later_233_34000_native,ALL16,ettm2_later_233_34000_native_0_step450,0.14041783535775162
ettm2_later_233_34000_native,ALL16,ettm2_later_233_34000_native_0_step900,0.15169869774989342
ettm2_later_233_34000_native,ALL16,ettm2_later_233_34000_native_1_step150,0.13401048246346142
ettm2_later_233_34000_native,ALL16,ettm2_later_233_34000_native_1_step450,0.1444146264379395
ettm2_later_233_34000_native,ALL16,ettm2_later_233_34000_native_1_step900,0.16573076379860702
ettm2_later_233_34000_native_anchor,RECENT4,ettm2_later_233_34000_native_anchor_0_step0,0.08513311930673345
ettm2_later_233_34000_native_anchor,RECENT4,ettm2_later_233_34000_native_anchor_0_step150,0.08047828327432291
ettm2_later_233_34000_native_anchor,RECENT4,ettm2_later_233_34000_native_anchor_0_step450,0.07844726003569652
ettm2_later_233_34000_native_anchor,RECENT4,ettm2_later_233_34000_native_anchor_0_step900,0.07973691723403421
ettm2_later_233_34000_native_anchor,RECENT4,ettm2_later_233_34000_native_anchor_1_step150,0.07849543845816676
ettm2_later_233_34000_native_anchor,RECENT4,ettm2_later_233_34000_native_anchor_1_step450,0.0796958011728312
ettm2_later_233_34000_native_anchor,RECENT4,ettm2_later_233_34000_native_anchor_1_step900,0.08320588888056324
ettm2_later_233_34000_native_anchor,SPREAD4,ettm2_later_233_34000_native_anchor_0_step0,0.0963318979311693
ettm2_later_233_34000_native_anchor,SPREAD4,ettm2_later_233_34000_native_anchor_0_step150,0.09592149338808922
ettm2_later_233_34000_native_anchor,SPREAD4,ettm2_later_233_34000_native_anchor_0_step450,0.09580798949325198
ettm2_later_233_34000_native_anchor,SPREAD4,ettm2_later_233_34000_native_anchor_0_step900,0.10163048678850778
ettm2_later_233_34000_native_anchor,SPREAD4,ettm2_later_233_34000_native_anchor_1_step150,0.09596399012843676
ettm2_later_233_34000_native_anchor,SPREAD4,ettm2_later_233_34000_native_anchor_1_step450,0.0976287338336074
ettm2_later_233_34000_native_anchor,SPREAD4,ettm2_later_233_34000_native_anchor_1_step900,0.1016178515366877
ettm2_later_233_34000_native_anchor,ALL16,ettm2_later_233_34000_native_anchor_0_step0,0.1361636567851273
ettm2_later_233_34000_native_anchor,ALL16,ettm2_later_233_34000_native_anchor_0_step150,0.13465795403474146
ettm2_later_233_34000_native_anchor,ALL16,ettm2_later_233_34000_native_anchor_0_step450,0.13850644447198524
ettm2_later_233_34000_native_anchor,ALL16,ettm2_later_233_34000_native_anchor_0_step900,0.14753141786988808
ettm2_later_233_34000_native_anchor,ALL16,ettm2_later_233_34000_native_anchor_1_step150,0.133273832044626
ettm2_later_233_34000_native_anchor,ALL16,ettm2_later_233_34000_native_anchor_1_step450,0.14158301624974437
ettm2_later_233_34000_native_anchor,ALL16,ettm2_later_233_34000_native_anchor_1_step900,0.15742602368576908
ettm2_later_233_34001_native,RECENT4,ettm2_later_233_34001_native_0_step0,0.08513311930673345
ettm2_later_233_34001_native,RECENT4,ettm2_later_233_34001_native_0_step150,0.07857649140067272
ettm2_later_233_34001_native,RECENT4,ettm2_later_233_34001_native_0_step450,0.07640097155530243
ettm2_later_233_34001_native,RECENT4,ettm2_later_233_34001_native_0_step900,0.07770687235065442
ettm2_later_233_34001_native,RECENT4,ettm2_later_233_34001_native_1_step150,0.07581096109677805
ettm2_later_233_34001_native,RECENT4,ettm2_later_233_34001_native_1_step450,0.07602527599837114
ettm2_later_233_34001_native,RECENT4,ettm2_later_233_34001_native_1_step900,0.08572335165734536
ettm2_later_233_34001_native,SPREAD4,ettm2_later_233_34001_native_0_step0,0.0963318979311693
ettm2_later_233_34001_native,SPREAD4,ettm2_later_233_34001_native_0_step150,0.09596668386514219
ettm2_later_233_34001_native,SPREAD4,ettm2_later_233_34001_native_0_step450,0.09617168096556838
ettm2_later_233_34001_native,SPREAD4,ettm2_later_233_34001_native_0_step900,0.10164543591636492
ettm2_later_233_34001_native,SPREAD4,ettm2_later_233_34001_native_1_step150,0.09700777882177528
ettm2_later_233_34001_native,SPREAD4,ettm2_later_233_34001_native_1_step450,0.10105343462074659
ettm2_later_233_34001_native,SPREAD4,ettm2_later_233_34001_native_1_step900,0.10329849082740693
ettm2_later_233_34001_native,ALL16,ettm2_later_233_34001_native_0_step0,0.1361636567851273
ettm2_later_233_34001_native,ALL16,ettm2_later_233_34001_native_0_step150,0.13563175439929404
ettm2_later_233_34001_native,ALL16,ettm2_later_233_34001_native_0_step450,0.13767449253243513
ettm2_later_233_34001_native,ALL16,ettm2_later_233_34001_native_0_step900,0.1468499503622578
ettm2_later_233_34001_native,ALL16,ettm2_later_233_34001_native_1_step150,0.13938804323556822
ettm2_later_233_34001_native,ALL16,ettm2_later_233_34001_native_1_step450,0.15062773827272039
ettm2_later_233_34001_native,ALL16,ettm2_later_233_34001_native_1_step900,0.16004515445253964
ettm2_later_233_34001_native_anchor,RECENT4,ettm2_later_233_34001_native_anchor_0_step0,0.08513311930673345
ettm2_later_233_34001_native_anchor,RECENT4,ettm2_later_233_34001_native_anchor_0_step150,0.08006082889880535
ettm2_later_233_34001_native_anchor,RECENT4,ettm2_later_233_34001_native_anchor_0_step450,0.07797751119627944
ettm2_later_233_34001_native_anchor,RECENT4,ettm2_later_233_34001_native_anchor_0_step900,0.07895729037794874
ettm2_later_233_34001_native_anchor,RECENT4,ettm2_later_233_34001_native_anchor_1_step150,0.07691649142106663
ettm2_later_233_34001_native_anchor,RECENT4,ettm2_later_233_34001_native_anchor_1_step450,0.07880880062283233
ettm2_later_233_34001_native_anchor,RECENT4,ettm2_later_233_34001_native_anchor_1_step900,0.08374668429324023
ettm2_later_233_34001_native_anchor,SPREAD4,ettm2_later_233_34001_native_anchor_0_step0,0.0963318979311693
ettm2_later_233_34001_native_anchor,SPREAD4,ettm2_later_233_34001_native_anchor_0_step150,0.09590194389844645
ettm2_later_233_34001_native_anchor,SPREAD4,ettm2_later_233_34001_native_anchor_0_step450,0.09569425090072294
ettm2_later_233_34001_native_anchor,SPREAD4,ettm2_later_233_34001_native_anchor_0_step900,0.10000025975686058
ettm2_later_233_34001_native_anchor,SPREAD4,ettm2_later_233_34001_native_anchor_1_step150,0.09626255851092255
ettm2_later_233_34001_native_anchor,SPREAD4,ettm2_later_233_34001_native_anchor_1_step450,0.09826647495624521
ettm2_later_233_34001_native_anchor,SPREAD4,ettm2_later_233_34001_native_anchor_1_step900,0.10106008494215252
ettm2_later_233_34001_native_anchor,ALL16,ettm2_later_233_34001_native_anchor_0_step0,0.1361636567851273
ettm2_later_233_34001_native_anchor,ALL16,ettm2_later_233_34001_native_anchor_0_step150,0.13588055702747415
ettm2_later_233_34001_native_anchor,ALL16,ettm2_later_233_34001_native_anchor_0_step450,0.13654224173325036
ettm2_later_233_34001_native_anchor,ALL16,ettm2_later_233_34001_native_anchor_0_step900,0.14294430462810165
ettm2_later_233_34001_native_anchor,ALL16,ettm2_later_233_34001_native_anchor_1_step150,0.13748489443173928
ettm2_later_233_34001_native_anchor,ALL16,ettm2_later_233_34001_native_anchor_1_step450,0.14643195131376968
ettm2_later_233_34001_native_anchor,ALL16,ettm2_later_233_34001_native_anchor_1_step900,0.15628451847524355
