source,arm,seed,variant,step,origin,pinball
Electricity,PCA,92342,raw128,128,23539,0.1745677516484221
Electricity,PCA,92342,raw128,128,23603,0.2170590530448601
Electricity,PCA,92342,raw128,128,23667,0.19337801072188626
Electricity,PCA,92342,raw128,128,23731,0.1911786275280578
Electricity,PCA,92342,raw128,128,23795,0.21125093440218892
Electricity,PCA,92342,raw128,128,23859,0.1755218901881483
Electricity,PCA,92342,raw128,128,23923,0.1727800874987067
Electricity,PCA,92342,raw128,128,23987,0.19060646219171207
Electricity,PCA,92342,raw128,128,24051,0.1940807499609789
Electricity,PCA,92342,raw128,128,24115,0.16467761364602823
Electricity,PCA,92342,raw128,128,24179,0.2147129468884299
Electricity,PCA,92342,raw128,128,24243,0.20925909968984213
Electricity,PCA,92342,raw128,128,24307,0.23109453420898163
Electricity,PCA,92342,raw128,128,24371,0.22929370602682567
Electricity,PCA,92342,raw128,128,24435,0.18205609887735916
Electricity,PCA,92342,raw128,128,24499,0.17883195457162238
Electricity,PCA,92342,raw128,128,24563,0.21725770904988237
Electricity,PCA,92342,raw128,128,24627,0.16584946035538073
Electricity,PCA,92342,raw128,128,24691,0.2442583229838309
Electricity,PCA,92342,raw128,128,24755,0.16521665042942146
Electricity,PCA,92342,raw128,128,24819,0.18547391875431987
Electricity,PCA,92342,raw128,128,24883,0.19258191117026474
Electricity,PCA,92342,raw128,128,24947,0.16849986452983395
Electricity,PCA,92342,raw128,128,25011,0.1678395131480024
Electricity,PCA,92342,raw128,128,25075,0.15715530914653136
Electricity,PCA,92342,raw128,128,25139,0.15086275916929265
Electricity,PCA,92342,raw128,128,25203,0.1494454176189829
Electricity,PCA,92342,raw128,128,25267,0.15085759207072816
Electricity,PCA,92342,raw128,128,25331,0.14429861624490245
Electricity,PCA,92342,raw128,128,25395,0.12677578610927795
Electricity,PCA,92342,raw128,128,25459,0.12485170896989453
Electricity,PCA,92342,raw128,128,25523,0.15959759749720864
Electricity,PCA,92342,raw128,128,25587,0.23919517609887353
Electricity,PCA,92342,raw128,128,25651,0.14941059821613123
Electricity,PCA,92342,raw128,128,25715,0.274895416882116
Electricity,PCA,92342,raw128,128,25779,0.16996394824966865
Electricity,PCA,92342,raw128,128,25843,0.19397556739837601
Electricity,PCA,92342,raw128,128,25907,0.1544818445946211
Electricity,PCA,92342,raw128,128,25971,0.1696601205041801
Electricity,PCA,92342,raw128,128,26035,0.14458510149876022
Electricity,PCA,92342,raw128,128,26099,0.6808103560517215
Electricity,PCA,92342,raw128,128,26163,0.3040510655338665
Electricity,PCA,92342,raw128,128,26227,0.24362145729562207
Electricity,PCA,92342,selected_raw,512,21043,0.12327055505242492
Electricity,PCA,92342,selected_raw,512,21107,0.17135342817874488
Electricity,PCA,92342,selected_raw,512,21171,0.1854027625199425
Electricity,PCA,92342,selected_raw,512,21235,0.1226726412693317
Electricity,PCA,92342,selected_raw,512,21299,0.1523323252636403
Electricity,PCA,92342,selected_raw,512,21363,0.16412398044120813
Electricity,PCA,92342,selected_raw,512,21427,0.3011749526139746
Electricity,PCA,92342,selected_raw,512,21491,0.37111053469243016
Electricity,PCA,92342,selected_raw,512,21555,0.2267665965733971
Electricity,PCA,92342,selected_raw,512,21619,0.1849589200783358
Electricity,PCA,92342,selected_raw,512,21683,0.2340865455273139
Electricity,PCA,92342,selected_raw,512,21747,0.19398699139804906
