source,arm,seed,variant,step,series_index,pinball,nmae,raw_mae,coverage,width,crossing
Electricity,F0,0,selected_raw,0,4,0.16535102636998597,0.200866972057701,55.72716623399316,0.8860518292682927,0.8049326539039612,0.001405297256097561
Electricity,F0,0,selected_raw,0,5,0.17580294177415173,0.21908881279726153,56.983189623530315,0.8395579268292683,0.7465164065361023,0.0
Electricity,F0,0,selected_raw,0,6,0.14693656001196798,0.18173073160580358,59.363385014417695,0.8090701219512195,0.5668818950653076,0.0
Electricity,F0,0,selected_raw,0,7,0.2070021003099417,0.2588030144408698,47.26541693617658,0.8014481707317073,0.7974867224693298,2.381859756097561e-05
Electricity,F0,0,selected_cal,0,0,0.15797482220209227,0.19623351043628404,91.977918496946,0.8245045731707317,0.6578572988510132,0.0
Electricity,F0,0,selected_cal,0,1,0.1716660391073808,0.21352130605839406,77.25724491258947,0.8208841463414634,0.7021616697311401,0.0
Electricity,F0,0,selected_cal,0,2,0.21332206745664126,0.26094765926834645,111.23269853068561,0.809641768292683,0.7441308498382568,0.0015720274390243903
Electricity,F0,0,selected_cal,0,3,0.3925534079340285,0.5017118768412794,20.682321116691682,0.7955411585365854,1.6184625625610352,0.0
Electricity,F0,0,selected_cal,0,4,0.16535102636998597,0.200866972057701,55.72716623399316,0.8860518292682927,0.8049326539039612,0.001405297256097561
Electricity,F0,0,selected_cal,0,5,0.1758029417739033,0.21908881279726153,56.983189623530315,0.8395579268292683,0.7465164065361023,0.0
Electricity,F0,0,selected_cal,0,6,0.14693656001196798,0.18173073160580358,59.363385014417695,0.8090701219512195,0.5668818950653076,0.0
Electricity,F0,0,selected_cal,0,7,0.2070021003099417,0.2588030144408698,47.26541693617658,0.8014481707317073,0.7974867224693298,2.381859756097561e-05
ETTh1,PCA,92341,raw128,128,0,0.47965142248775894,0.5997872985723914,3.6793371409315756,0.7965856481481481,1.8651372194290161,0.00014467592592592592
ETTh1,PCA,92341,raw128,128,1,0.3046833321410613,0.38991158064774917,0.8365826055890432,0.7798032407407407,1.2170709371566772,0.0
ETTh1,PCA,92341,raw128,128,2,0.4713315080859549,0.5876489893940259,3.4721308932704336,0.8038194444444444,1.863028645515442,0.0003616898148148148
ETTh1,PCA,92341,raw128,128,3,0.2761824306149091,0.3481040432975541,0.6858654400631268,0.7766203703703703,1.0963551998138428,0.0
ETTh1,PCA,92341,raw128,128,4,0.3559010859367766,0.43409218378623,0.542743771319726,0.8049768518518519,1.3437634706497192,0.0
ETTh1,PCA,92341,raw128,128,5,0.20458686037787085,0.2563027767425618,0.17115730095085585,0.8287037037037037,0.874924898147583,0.0
ETTh1,PCA,92341,raw128,128,6,0.16581922366000584,0.21292665216450668,1.8127860254694328,0.8017939814814815,0.6511014103889465,0.0
ETTh1,PCA,92341,selected_raw,512,0,0.4659273004870237,0.5860736820023031,3.5952122871660523,0.7983217592592593,1.8278143405914307,0.00014467592592592592
ETTh1,PCA,92341,selected_raw,512,1,0.2962605598521668,0.3783042273896268,0.8116782161976315,0.7887731481481481,1.1974518299102783,0.0
ETTh1,PCA,92341,selected_raw,512,2,0.4574563424827531,0.5752439787778868,3.3988357436675063,0.8090277777777778,1.8159899711608887,0.0005063657407407407
ETTh1,PCA,92341,selected_raw,512,3,0.27035081567920816,0.34078140351527686,0.6714377261270312,0.7780671296296297,1.0740307569503784,0.0
ETTh1,PCA,92341,selected_raw,512,4,0.3570755545335917,0.43914601035659806,0.5490625510509644,0.8072916666666666,1.3563324213027954,0.0
ETTh1,PCA,92341,selected_raw,512,5,0.2062505227392751,0.2596827311260252,0.17341441215723064,0.8197337962962963,0.856508195400238,0.0
ETTh1,PCA,92341,selected_raw,512,6,0.1659948291613787,0.21292639611950068,1.81278384558822,0.7569444444444444,0.5957692265510559,0.0
ETTh1,PCA,92341,selected_cal,512,0,0.4659273004160496,0.5860736820023031,3.5952122871660523,0.7983217592592593,1.8278143405914307,0.00014467592592592592
ETTh1,PCA,92341,selected_cal,512,1,0.2962605598372513,0.3783042273896268,0.8116782161976315,0.7887731481481481,1.1974518299102783,0.0
ETTh1,PCA,92341,selected_cal,512,2,0.45745634246767175,0.5752439787778868,3.3988357436675063,0.8090277777777778,1.8159899711608887,0.0005063657407407407
