dataset,source,budget,seed,arm,candidate_id,origin,channel,scaled_quantile_mean_pinball_numerator,valid_target_count,train_scale,quantile_count,active
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11616,1,4.271529451625172,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11616,2,15.059568154301376,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11616,3,13.882413982875088,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11712,0,14.030129565848522,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11712,1,11.888589233720673,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11712,2,20.99798017534108,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11712,3,18.044317105175427,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11808,0,15.188256697159865,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11808,1,41.23738406155244,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11808,2,6.5574596441826545,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11808,3,28.73848005927993,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11904,0,8.33474577115271,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11904,1,8.337774961741385,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11904,2,4.445980262612872,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11904,3,7.5069268339398345,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12000,0,27.868469751981507,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12000,1,22.004267861824825,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12000,2,6.977100609447262,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12000,3,13.980543651166402,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12096,0,12.279842888501916,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12096,1,29.02830599038874,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12096,2,8.227099511597382,48,12.361013236800593,21,True
